Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -159.2733    -161.1851       1.9118   308.1
0.0250        -159.7060    -161.1417       1.4357   231.4
0.0500        -159.4454    -161.0766       1.6312   262.9
0.0750        -159.5701    -161.0277       1.4575   234.9
0.1000        -159.4559    -161.0707       1.6148   260.3
0.1250        -159.3764    -161.0529       1.6765   270.2
0.1500        -159.4072    -160.8355       1.4284   230.2
0.1750        -159.7046    -161.2174       1.5129   243.8
0.2000        -159.4337    -161.1742       1.7404   280.5
0.2250        -159.3931    -161.0620       1.6689   269.0
0.2500        -159.6446    -161.0666       1.4220   229.2
0.2750        -159.3010    -160.8510       1.5499   249.8
0.3000        -159.2019    -160.9297       1.7278   278.5
0.3250        -159.6124    -161.2207       1.6082   259.2
0.3500        -159.5989    -161.3048       1.7059   274.9
0.3750        -159.7160    -161.3298       1.6138   260.1
0.4000        -159.4206    -161.1512       1.7306   278.9
0.4250        -159.7001    -161.2258       1.5257   245.9
0.4500        -159.1988    -161.0136       1.8147   292.5
0.4750        -159.3109    -161.1468       1.8359   295.9
0.5000        -158.5902    -160.2040       1.6138   260.1
0.5250        -159.0087    -160.7659       1.7573   283.2
0.5500        -159.4628    -161.2778       1.8150   292.5
0.5750        -159.3355    -161.1214       1.7859   287.8
0.6000        -159.2295    -160.9290       1.6996   273.9
0.6250        -159.3478    -161.1561       1.8083   291.5
0.6500        -159.4243    -161.2213       1.7970   289.6
0.6750        -159.2866    -161.1176       1.8310   295.1
0.7000        -159.3621    -161.3251       1.9630   316.4
0.7250        -159.6832    -161.4471       1.7639   284.3
0.7500        -159.2829    -161.1521       1.8693   301.3
0.7750        -159.2396    -161.2387       1.9990   322.2
0.8000        -159.4176    -161.2500       1.8324   295.3
0.8250        -159.0281    -161.1246       2.0965   337.9
0.8500        -158.8684    -160.9435       2.0751   334.5
0.8750        -159.4401    -161.3692       1.9292   310.9
0.9000        -158.8531    -161.1620       2.3089   372.1
0.9250        -158.6502    -160.8596       2.2093   356.1
0.9500        -158.7459    -160.7590       2.0131   324.5
0.9750        -159.1338    -161.0678       1.9340   311.7
1.0000        -158.9949    -161.0358       2.0408   328.9
1.0250        -158.9170    -161.0524       2.1354   344.2
1.0500        -158.7422    -160.7795       2.0374   328.4
1.0750        -158.3933    -160.9079       2.5146   405.3
1.1000        -158.7727    -161.0919       2.3191   373.8
1.1250        -158.8298    -161.2125       2.3827   384.0
1.1500        -158.6165    -161.0533       2.4369   392.8
1.1750        -159.0182    -161.1563       2.1381   344.6
1.2000        -158.9721    -161.0916       2.1195   341.6
1.2250        -158.8074    -161.1919       2.3845   384.3
1.2500        -158.9970    -161.2934       2.2964   370.1
1.2750        -158.8436    -161.2853       2.4417   393.5
1.3000        -158.3496    -160.9695       2.6199   422.3
1.3250        -158.3125    -160.7281       2.4156   389.3
1.3500        -158.6480    -160.8314       2.1834   351.9
1.3750        -158.2869    -160.8053       2.5184   405.9
1.4000        -157.7708    -160.4187       2.6479   426.8
1.4250        -158.4837    -160.9754       2.4917   401.6
1.4500        -158.4303    -161.1048       2.6745   431.1
1.4750        -158.0912    -160.8671       2.7759   447.4
1.5000        -157.9388    -160.5585       2.6198   422.2
1.5250        -158.1081    -160.8078       2.6996   435.1
1.5500        -158.1613    -161.0656       2.9042   468.1
1.5750        -158.2651    -161.0484       2.7833   448.6
1.6000        -158.4602    -161.1472       2.6870   433.1
1.6250        -158.1866    -161.0415       2.8548   460.1
1.6500        -158.1342    -161.0975       2.9633   477.6
1.6750        -158.1251    -161.1758       3.0507   491.7
1.7000        -158.1720    -161.0779       2.9058   468.3
1.7250        -158.1138    -160.9015       2.7877   449.3
1.7500        -158.3383    -161.1284       2.7901   449.7
1.7750        -157.9064    -161.0858       3.1794   512.4
1.8000        -157.8415    -161.2058       3.3643   542.2
1.8250        -157.7076    -161.0323       3.3247   535.9
1.8500        -157.8644    -161.1344       3.2700   527.0
1.8750        -157.2533    -160.3069       3.0535   492.1
1.9000        -157.4772    -160.6104       3.1331   505.0
1.9250        -157.6796    -161.1125       3.4329   553.3
1.9500        -157.9814    -161.2606       3.2793   528.5
1.9750        -158.0646    -161.2920       3.2274   520.2
2.0000        -158.1781    -161.1974       3.0194   486.6
2.0250        -157.4639    -161.0349       3.5710   575.5
2.0500        -157.5730    -161.0857       3.5127   566.2
2.0750        -157.7807    -161.0886       3.3079   533.1
2.1000        -158.1156    -161.3122       3.1967   515.2
