Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -158.2820    -158.9170       0.6350   377.9
0.0500        -158.2653    -158.9142       0.6489   386.2
0.1000        -158.1714    -158.9068       0.7353   437.6
0.1500        -158.1638    -158.9037       0.7399   440.3
0.2000        -158.2010    -158.8937       0.6927   412.2
0.2500        -158.0957    -158.8728       0.7771   462.4
0.3000        -158.0309    -158.8912       0.8603   512.0
0.3500        -158.2167    -158.9256       0.7089   421.9
0.4000        -158.3039    -158.9149       0.6110   363.6
0.4500        -158.2077    -158.8891       0.6814   405.5
0.5000        -158.2505    -158.8880       0.6376   379.4
0.5500        -158.3152    -158.8780       0.5627   334.9
0.6000        -158.0907    -158.9028       0.8120   483.2
0.6500        -158.3046    -158.8926       0.5881   350.0
0.7000        -158.2472    -158.9055       0.6582   391.7
0.7500        -158.1226    -158.9113       0.7887   469.3
0.8000        -158.2239    -158.8891       0.6652   395.9
0.8500        -158.3026    -158.9237       0.6211   369.6
0.9000        -158.2919    -158.8893       0.5974   355.5
0.9500        -158.0383    -158.8917       0.8534   507.9
1.0000        -158.2930    -158.9118       0.6188   368.2
1.0500        -158.1939    -158.8968       0.7029   418.3
1.1000        -158.0051    -158.9086       0.9036   537.7
1.1500        -158.2180    -158.8883       0.6703   398.9
1.2000        -158.2844    -158.8952       0.6108   363.5
1.2500        -158.2202    -158.8719       0.6517   387.8
1.3000        -158.3552    -158.9075       0.5523   328.7
1.3500        -158.3108    -158.8769       0.5661   336.9
1.4000        -158.1047    -158.9158       0.8111   482.7
1.4500        -158.2966    -158.8995       0.6030   358.8
1.5000        -158.2653    -158.9128       0.6475   385.3
1.5500        -158.1061    -158.8937       0.7876   468.7
1.6000        -158.3148    -158.8860       0.5712   339.9
1.6500        -158.2095    -158.9051       0.6956   414.0
1.7000        -158.2393    -158.9086       0.6693   398.3
1.7500        -158.4493    -158.8995       0.4501   267.9
1.8000        -158.2477    -158.8997       0.6520   388.0
1.8500        -158.2781    -158.9194       0.6413   381.6
1.9000        -158.2794    -158.8851       0.6057   360.5
1.9500        -158.2169    -158.9265       0.7096   422.3
2.0000        -158.1130    -158.8988       0.7858   467.6
2.0500        -158.3102    -158.9214       0.6113   363.8
2.1000        -158.2963    -158.8905       0.5942   353.6
2.1500        -158.1090    -158.8579       0.7489   445.7
2.2000        -158.2034    -158.9039       0.7005   416.9
2.2500        -158.1312    -158.8969       0.7658   455.7
2.3000        -158.1733    -158.9036       0.7303   434.6
2.3500        -158.1749    -158.9181       0.7432   442.3
2.4000        -158.3752    -158.8961       0.5209   310.0
2.4500        -158.2824    -158.9161       0.6337   377.1
2.5000        -158.2356    -158.9151       0.6795   404.4
2.5500        -158.2708    -158.9086       0.6377   379.5
2.6000        -158.2791    -158.9042       0.6251   372.0
2.6500        -158.1845    -158.9203       0.7358   437.9
2.7000        -158.1992    -158.9091       0.7099   422.5
2.7500        -158.2539    -158.8936       0.6397   380.7
2.8000        -158.3114    -158.9148       0.6034   359.1
2.8500        -158.2069    -158.8863       0.6794   404.3
2.9000        -158.3680    -158.9274       0.5594   332.9
2.9500        -158.1317    -158.9075       0.7759   461.7
3.0000        -158.2984    -158.8901       0.5917   352.1
3.0500        -158.3326    -158.9052       0.5726   340.7
3.1000        -158.1410    -158.8864       0.7453   443.5
3.1500        -158.1631    -158.8979       0.7348   437.3
3.2000        -158.4612    -158.9023       0.4411   262.5
3.2500        -158.2196    -158.9168       0.6972   414.9
3.3000        -158.2958    -158.9148       0.6189   368.3
3.3500        -158.3133    -158.9222       0.6089   362.4
3.4000        -158.1909    -158.8659       0.6750   401.7
3.4500        -158.1300    -158.8802       0.7502   446.5
3.5000        -158.1575    -158.9176       0.7600   452.3
3.5500        -158.3106    -158.9038       0.5931   353.0
3.6000        -158.3082    -158.9009       0.5926   352.7
3.6500        -158.2481    -158.9003       0.6521   388.1
3.7000        -158.1091    -158.9013       0.7922   471.4
3.7500        -158.1331    -158.8870       0.7539   448.7
3.8000        -158.3080    -158.9156       0.6076   361.6
3.8500        -158.2197    -158.8910       0.6713   399.5
3.9000        -158.2870    -158.8922       0.6051   360.1
3.9500        -158.1281    -158.8989       0.7708   458.7
4.0000        -158.3275    -158.9123       0.5848   348.0
4.0500        -158.3033    -158.9062       0.6030   358.8
4.1000        -158.1931    -158.9240       0.7309   434.9
4.1500        -158.2581    -158.9054       0.6473   385.2
4.2000        -158.1074    -158.9030       0.7956   473.5
4.2500        -158.3172    -158.9187       0.6016   358.0
4.3000        -158.1778    -158.8992       0.7214   429.3
4.3500        -158.4064    -158.8931       0.4866   289.6
4.4000        -158.1419    -158.8866       0.7447   443.2
4.4500        -158.2006    -158.8898       0.6892   410.2
4.5000        -158.1925    -158.9076       0.7151   425.6
4.5500        -158.2078    -158.8953       0.6876   409.2
4.6000        -158.2586    -158.9124       0.6539   389.1
4.6500        -158.2028    -158.9016       0.6988   415.8
4.7000        -158.3394    -158.8815       0.5422   322.6
4.7500        -158.2543    -158.9298       0.6755   402.0
4.8000        -158.1915    -158.8850       0.6935   412.7
4.8500        -158.1408    -158.9093       0.7685   457.3
4.9000        -158.2637    -158.8881       0.6244   371.6
4.9500        -158.2033    -158.9091       0.7058   420.1
5.0000        -158.1554    -158.9011       0.7457   443.8
5.0500        -158.2156    -158.8770       0.6615   393.6
5.1000        -158.2854    -158.9111       0.6257   372.4
5.1500        -158.2659    -158.8824       0.6164   366.8
5.2000        -158.1864    -158.9021       0.7157   425.9
5.2500        -158.3581    -158.8972       0.5392   320.9
5.3000        -158.1174    -158.8960       0.7785   463.3
5.3500        -158.0914    -158.8986       0.8072   480.4
5.4000        -158.2940    -158.9013       0.6072   361.4
5.4500        -158.2152    -158.8764       0.6613   393.5
5.5000        -158.0852    -158.8740       0.7888   469.4
5.5500        -158.2363    -158.9117       0.6754   402.0
5.6000        -158.3469    -158.9044       0.5575   331.8
5.6500        -158.0976    -158.8986       0.8010   476.7
5.7000        -158.1432    -158.8940       0.7508   446.8
5.7500        -158.0728    -158.8757       0.8028   477.8
5.8000        -158.2780    -158.8874       0.6094   362.7
5.8500        -158.3971    -158.9018       0.5047   300.3
5.9000        -158.0489    -158.8879       0.8391   499.3
5.9500        -158.1056    -158.8928       0.7871   468.4
6.0000        -158.2939    -158.8937       0.5998   356.9
6.0500        -158.2449    -158.8997       0.6548   389.7
6.1000        -158.1450    -158.8986       0.7536   448.5
6.1500        -158.0947    -158.9024       0.8077   480.7
6.2000        -158.1790    -158.9034       0.7243   431.0
6.2500        -158.3973    -158.9034       0.5060   301.1
6.3000        -158.0355    -158.8898       0.8543   508.4
6.3500        -158.2802    -158.9182       0.6380   379.7
6.4000        -158.2537    -158.9048       0.6511   387.5
6.4500        -158.1093    -158.9119       0.8026   477.6
6.5000        -158.1647    -158.8908       0.7261   432.1
6.5500        -158.3403    -158.9090       0.5687   338.5
6.6000        -158.2206    -158.9086       0.6880   409.4
6.6500        -158.0248    -158.8806       0.8558   509.3
6.7000        -158.2201    -158.9263       0.7063   420.3
6.7500        -158.1028    -158.9057       0.8029   477.8
6.8000        -158.2163    -158.8770       0.6607   393.2
6.8500        -158.0569    -158.8775       0.8206   488.4
6.9000        -158.2536    -158.9078       0.6542   389.3
6.9500        -158.2106    -158.8849       0.6743   401.3
7.0000        -158.1329    -158.8992       0.7663   456.0
7.0500        -158.3681    -158.8994       0.5314   316.2
7.1000        -158.2683    -158.9228       0.6545   389.5
7.1500        -158.1701    -158.9217       0.7516   447.3
7.2000        -158.1820    -158.9106       0.7286   433.6
7.2500        -158.1504    -158.8736       0.7232   430.4
7.3000        -158.2898    -158.9134       0.6236   371.1
7.3500        -158.0521    -158.9043       0.8522   507.1
7.4000        -158.3350    -158.8980       0.5630   335.0
7.4500        -158.1268    -158.9156       0.7888   469.4
7.5000        -158.2337    -158.8791       0.6454   384.1
7.5500        -158.0893    -158.8865       0.7972   474.4
7.6000        -158.0587    -158.9073       0.8486   505.0
7.6500        -158.1497    -158.8883       0.7386   439.5
7.7000        -158.2299    -158.9014       0.6715   399.6
7.7500        -158.1930    -158.9623       0.7693   457.8
7.8000        -158.3518    -158.9046       0.5528   329.0
7.8500        -158.2400    -158.8901       0.6501   386.9
7.9000        -158.0540    -158.8858       0.8318   495.0
7.9500        -158.0866    -158.9126       0.8260   491.5
8.0000        -158.0538    -158.8887       0.8349   496.8
8.0500        -158.3026    -158.9148       0.6122   364.3
8.1000        -158.2578    -158.9105       0.6527   388.4
8.1500        -158.2278    -158.9144       0.6865   408.5
8.2000        -158.3062    -158.9198       0.6136   365.1
8.2500        -158.3891    -158.9306       0.5415   322.3
8.3000        -158.0745    -158.9035       0.8290   493.3
8.3500        -158.1222    -158.8953       0.7731   460.1
8.4000        -158.3422    -158.9113       0.5691   338.7
8.4500        -158.0869    -158.8778       0.7909   470.7
8.5000        -158.2560    -158.9223       0.6663   396.5
8.5500        -158.2515    -158.8763       0.6248   371.8
8.6000        -158.1184    -158.8960       0.7776   462.8
8.6500        -157.9458    -158.9112       0.9654   574.5
8.7000        -158.0393    -158.8897       0.8504   506.1
8.7500        -158.1680    -158.9156       0.7476   444.9
8.8000        -158.2617    -158.8940       0.6323   376.3
8.8500        -158.1031    -158.9157       0.8126   483.6
8.9000        -158.0647    -158.9193       0.8546   508.6
8.9500        -158.3287    -158.9200       0.5913   351.9
9.0000        -158.3247    -158.8805       0.5558   330.8
9.0500        -158.2025    -158.9119       0.7095   422.2
9.1000        -158.2936    -158.8920       0.5984   356.1
9.1500        -158.4095    -158.9335       0.5240   311.8
9.2000        -158.2065    -158.9106       0.7041   419.0
9.2500        -158.2103    -158.8889       0.6785   403.8
9.3000        -158.1482    -158.8966       0.7484   445.4
9.3500        -158.1479    -158.8843       0.7364   438.2
9.4000        -158.2397    -158.9138       0.6741   401.2
9.4500        -158.1990    -158.9103       0.7113   423.3
9.5000        -158.1195    -158.9079       0.7884   469.2
9.5500        -158.1359    -158.8970       0.7611   452.9
9.6000        -158.0868    -158.9085       0.8218   489.0
9.6500        -158.0134    -158.9044       0.8910   530.3
9.7000        -158.2104    -158.8727       0.6624   394.2
9.7500        -158.3303    -158.8912       0.5609   333.8
9.8000        -158.1934    -158.8988       0.7054   419.8
9.8500        -158.1709    -158.9230       0.7521   447.6
9.9000        -157.9899    -158.8893       0.8994   535.2
9.9500        -158.2345    -158.9064       0.6719   399.9
10.0000       -158.1571    -158.8946       0.7375   438.9
10.0500       -158.0089    -158.9036       0.8947   532.4
10.1000       -158.2819    -158.8986       0.6168   367.0
10.1500       -158.1658    -158.9061       0.7403   440.6
10.2000       -158.1380    -158.8826       0.7446   443.1
10.2500       -158.2597    -158.8911       0.6314   375.8
10.3000       -158.1046    -158.8954       0.7908   470.6
10.3500       -158.1721    -158.8804       0.7083   421.5
10.4000       -158.2961    -158.9135       0.6174   367.4
10.4500       -158.3187    -158.9211       0.6024   358.5
10.5000       -158.0801    -158.8809       0.8009   476.6
10.5500       -158.2149    -158.8924       0.6775   403.2
10.6000       -158.0379    -158.8827       0.8448   502.7
10.6500       -158.2013    -158.9123       0.7110   423.1
10.7000       -158.2324    -158.9149       0.6824   406.1
10.7500       -157.9947    -158.9035       0.9089   540.9
10.8000       -158.2439    -158.8934       0.6495   386.5
10.8500       -158.0462    -158.8957       0.8495   505.5
10.9000       -158.0522    -158.9056       0.8534   507.9
10.9500       -158.3930    -158.9230       0.5299   315.4
11.0000       -158.1405    -158.9027       0.7623   453.6
11.0500       -157.9556    -158.8976       0.9420   560.6
11.1000       -158.0004    -158.8951       0.8946   532.4
11.1500       -158.1730    -158.8865       0.7135   424.6
11.2000       -158.1753    -158.9027       0.7274   432.9
11.2500       -158.0290    -158.8975       0.8686   516.9
11.3000       -158.1074    -158.8810       0.7735   460.3
11.3500       -158.0312    -158.9042       0.8729   519.5
11.4000       -158.1370    -158.9075       0.7705   458.5
11.4500       -158.2275    -158.8953       0.6678   397.4
11.5000       -158.0489    -158.8924       0.8434   501.9
11.5500       -157.9172    -158.8927       0.9756   580.6
11.6000       -157.9723    -158.8916       0.9193   547.1
11.6500       -158.2396    -158.9104       0.6708   399.2
11.7000       -158.0747    -158.9072       0.8325   495.4
11.7500       -158.1145    -158.8659       0.7514   447.2
11.8000       -158.0184    -158.9001       0.8817   524.7
11.8500       -158.1071    -158.8956       0.7886   469.3
11.9000       -157.9286    -158.9091       0.9805   583.5
11.9500       -158.0977    -158.8970       0.7993   475.7
12.0000       -158.0824    -158.9063       0.8239   490.3
12.0500       -158.0230    -158.9094       0.8864   527.5
12.1000       -158.1883    -158.9214       0.7331   436.3
12.1500       -158.0194    -158.9160       0.8965   533.5
12.2000       -158.2197    -158.8992       0.6795   404.4
12.2500       -158.0977    -158.9290       0.8313   494.7
12.3000       -158.0948    -158.9211       0.8263   491.7
12.3500       -157.9677    -158.8761       0.9084   540.6
12.4000       -157.9662    -158.8967       0.9304   553.7
12.4500       -158.0923    -158.8681       0.7758   461.7
12.5000       -158.2687    -158.9197       0.6510   387.4
12.5500       -158.1485    -158.9092       0.7607   452.7
12.6000       -157.9036    -158.8787       0.9751   580.3
12.6500       -158.1571    -158.8949       0.7378   439.1
12.7000       -158.0750    -158.8714       0.7965   474.0
12.7500       -157.9433    -158.9008       0.9575   569.8
12.8000       -157.9482    -158.9052       0.9570   569.5
12.8500       -157.9747    -158.9043       0.9295   553.2
12.9000       -157.9980    -158.8975       0.8995   535.3
12.9500       -158.3068    -158.9047       0.5978   355.8
13.0000       -158.1240    -158.8802       0.7562   450.0
13.0500       -157.8895    -158.9022       1.0127   602.6
13.1000       -158.1167    -158.9014       0.7847   467.0
13.1500       -157.9334    -158.8652       0.9318   554.5
13.2000       -158.0977    -158.8913       0.7936   472.3
13.2500       -157.8370    -158.9157       1.0788   642.0
13.3000       -157.9958    -158.8957       0.8999   535.5
13.3500       -158.0088    -158.9167       0.9079   540.3
13.4000       -157.7966    -158.9141       1.1174   665.0
13.4500       -158.2515    -158.9253       0.6738   401.0
13.5000       -158.1501    -158.9049       0.7548   449.2
13.5500       -158.0078    -158.8947       0.8870   527.8
13.6000       -157.8720    -158.9198       1.0478   623.6
13.6500       -157.9336    -158.9129       0.9792   582.7
13.7000       -158.0797    -158.8966       0.8169   486.1
13.7500       -158.0597    -158.9089       0.8492   505.4
13.8000       -158.0068    -158.9056       0.8989   534.9
13.8500       -158.0384    -158.9078       0.8694   517.4
13.9000       -158.1825    -158.9092       0.7267   432.5
13.9500       -157.9584    -158.8886       0.9302   553.6
14.0000       -158.0248    -158.9142       0.8893   529.2
14.0500       -157.9306    -158.9037       0.9731   579.1
14.1000       -157.9206    -158.9045       0.9840   585.6
14.1500       -157.8003    -158.8999       1.0996   654.4
14.2000       -157.7775    -158.8808       1.1033   656.6
14.2500       -157.9743    -158.8545       0.8802   523.8
14.3000       -158.0557    -158.9043       0.8487   505.0
14.3500       -157.8679    -158.8963       1.0284   612.0
14.4000       -157.7917    -158.8895       1.0978   653.3
14.4500       -157.8883    -158.8754       0.9870   587.4
14.5000       -157.7804    -158.8867       1.1063   658.4
14.5500       -157.9275    -158.9021       0.9746   580.0
14.6000       -157.8971    -158.9085       1.0114   601.9
14.6500       -157.7501    -158.9030       1.1528   686.0
14.7000       -158.1181    -158.8994       0.7813   464.9
14.7500       -158.1483    -158.8904       0.7421   441.6
