Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -9025.3017   -9025.9913       0.6896   444.6
0.0500       -9025.2985   -9025.8341       0.5357   345.3
0.1000       -9025.3008   -9025.8227       0.5219   336.4
0.1500       -9025.2997   -9025.8868       0.5871   378.5
0.2000       -9025.2997   -9025.8828       0.5832   376.0
0.2500       -9025.3007   -9025.8511       0.5504   354.8
0.3000       -9025.2989   -9025.7813       0.4824   311.0
0.3500       -9025.3013   -9025.9251       0.6239   402.2
0.4000       -9025.2994   -9025.8566       0.5571   359.2
0.4500       -9025.3000   -9025.8063       0.5063   326.4
0.5000       -9025.3006   -9025.9508       0.6502   419.2
0.5500       -9025.3002   -9025.8364       0.5362   345.7
0.6000       -9025.3002   -9025.9382       0.6379   411.3
0.6500       -9025.2997   -9025.7282       0.4286   276.3
0.7000       -9025.3006   -9026.0278       0.7272   468.9
0.7500       -9025.2990   -9025.7743       0.4753   306.4
0.8000       -9025.3003   -9025.8918       0.5914   381.3
0.8500       -9025.3004   -9025.7822       0.4818   310.6
0.9000       -9025.2999   -9026.0392       0.7393   476.6
0.9500       -9025.3005   -9025.8182       0.5177   333.8
1.0000       -9025.3008   -9025.9409       0.6401   412.7
1.0500       -9025.2991   -9025.7689       0.4698   302.9
1.1000       -9025.3013   -9026.0754       0.7741   499.1
1.1500       -9025.2996   -9025.7657       0.4661   300.5
1.2000       -9025.2997   -9025.9139       0.6142   396.0
1.2500       -9025.3016   -9025.8638       0.5622   362.5
1.3000       -9025.2988   -9025.8252       0.5264   339.4
1.3500       -9025.2998   -9025.8095       0.5097   328.6
1.4000       -9025.3006   -9025.9093       0.6088   392.5
1.4500       -9025.2990   -9025.8215       0.5225   336.9
1.5000       -9025.3010   -9025.8596       0.5586   360.1
1.5500       -9025.2991   -9025.8426       0.5434   350.3
1.6000       -9025.2997   -9025.8906       0.5909   380.9
1.6500       -9025.3008   -9025.9070       0.6062   390.8
1.7000       -9025.2991   -9025.7292       0.4301   277.3
1.7500       -9025.3004   -9025.8721       0.5718   368.6
1.8000       -9025.3003   -9025.9641       0.6638   427.9
1.8500       -9025.2994   -9025.8331       0.5337   344.1
1.9000       -9025.3004   -9025.7734       0.4730   304.9
1.9500       -9025.2999   -9025.9049       0.6050   390.0
