Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -17636.5684  -17638.0547       1.4863   547.5
0.0500      -17636.5491  -17637.8477       1.2985   478.4
0.1000      -17636.6910  -17638.1504       1.4593   537.6
0.1500      -17636.7556  -17638.4023       1.6467   606.6
0.2000      -17636.6248  -17637.8848       1.2600   464.2
0.2500      -17636.4931  -17637.7578       1.2647   465.9
0.3000      -17636.6966  -17638.3613       1.6647   613.3
0.3500      -17636.8153  -17638.0234       1.2082   445.1
0.4000      -17636.5840  -17638.0078       1.4238   524.5
0.4500      -17636.4990  -17638.1602       1.6611   612.0
0.5000      -17636.6445  -17637.7793       1.1348   418.1
0.5500      -17636.4604  -17637.9707       1.5103   556.4
0.6000      -17636.6657  -17637.6211       0.9554   352.0
0.6500      -17636.5326  -17637.7480       1.2155   447.8
0.7000      -17636.4992  -17637.9980       1.4989   552.2
0.7500      -17636.5286  -17637.8887       1.3601   501.0
0.8000      -17636.6671  -17638.1289       1.4618   538.5
0.8500      -17636.5371  -17638.0234       1.4864   547.6
0.9000      -17636.8839  -17638.0859       1.2020   442.8
0.9500      -17636.4932  -17637.9004       1.4072   518.4
1.0000      -17636.6864  -17637.9648       1.2785   471.0
1.0500      -17636.7716  -17638.0820       1.3104   482.8
1.1000      -17636.4530  -17637.9414       1.4884   548.3
1.1500      -17636.7214  -17638.2402       1.5188   559.5
1.2000      -17636.6642  -17638.0059       1.3417   494.3
1.2500      -17636.6070  -17638.1309       1.5239   561.4
1.3000      -17636.9428  -17638.2070       1.2642   465.7
1.3500      -17636.0149  -17637.6367       1.6218   597.5
1.4000      -17636.8330  -17638.1719       1.3389   493.2
1.4500      -17636.4683  -17637.8691       1.4009   516.1
1.5000      -17636.7959  -17638.0137       1.2177   448.6
1.5500      -17636.9238  -17637.9531       1.0293   379.2
1.6000      -17636.0652  -17637.4941       1.4289   526.4
1.6500      -17637.0664  -17638.3613       1.2949   477.0
1.7000      -17636.6071  -17638.0723       1.4651   539.8
1.7500      -17636.5238  -17637.8945       1.3707   505.0
1.8000      -17636.9711  -17638.0898       1.1188   412.2
1.8500      -17635.9388  -17637.7578       1.8190   670.1
1.9000      -17636.9786  -17638.2305       1.2519   461.2
1.9500      -17636.4233  -17638.0098       1.5865   584.5
2.0000      -17636.6096  -17637.9766       1.3670   503.6
2.0500      -17636.6883  -17637.9785       1.2902   475.3
2.1000      -17636.2265  -17637.6152       1.3888   511.6
2.1500      -17636.7959  -17637.7793       0.9834   362.3
2.2000      -17636.5095  -17637.8535       1.3440   495.1
2.2500      -17636.7132  -17637.8984       1.1853   436.7
2.3000      -17636.9184  -17638.2500       1.3316   490.6
2.3500      -17636.2313  -17638.0039       1.7726   653.0
2.4000      -17636.6347  -17637.9785       1.3438   495.1
2.4500      -17636.8213  -17638.1211       1.2998   478.9
2.5000      -17636.5073  -17638.0508       1.5435   568.6
2.5500      -17636.5947  -17637.7461       1.1514   424.2
2.6000      -17636.7390  -17638.0352       1.2962   477.5
2.6500      -17636.6781  -17638.2793       1.6012   589.9
2.7000      -17636.4864  -17637.9043       1.4179   522.3
2.7500      -17636.8278  -17638.1777       1.3499   497.3
2.8000      -17636.3620  -17638.0566       1.6947   624.3
2.8500      -17636.7871  -17638.0625       1.2754   469.9
2.9000      -17636.9748  -17638.1230       1.1483   423.0
2.9500      -17635.9311  -17637.4434       1.5123   557.1
3.0000      -17637.0804  -17638.2695       1.1891   438.1
3.0500      -17636.3579  -17637.8379       1.4800   545.2
3.1000      -17636.6799  -17638.0723       1.3924   513.0
