Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -17638.4481  -17639.0430       0.5948   383.5
0.0500      -17638.4464  -17638.8438       0.3974   256.2
0.1000      -17638.4474  -17638.8359       0.3886   250.5
0.1500      -17638.4494  -17638.8672       0.4178   269.3
0.2000      -17638.4478  -17638.8594       0.4116   265.3
0.2500      -17638.4457  -17638.8086       0.3629   234.0
0.3000      -17638.4474  -17638.9023       0.4549   293.3
0.3500      -17638.4483  -17638.8496       0.4013   258.7
0.4000      -17638.4470  -17638.8418       0.3948   254.5
0.4500      -17638.4487  -17638.9082       0.4595   296.2
0.5000      -17638.4486  -17638.9023       0.4538   292.5
0.5500      -17638.4463  -17638.8047       0.3584   231.1
0.6000      -17638.4482  -17638.8555       0.4073   262.6
0.6500      -17638.4468  -17638.8418       0.3950   254.7
0.7000      -17638.4457  -17638.8262       0.3805   245.3
0.7500      -17638.4465  -17638.8359       0.3894   251.1
0.8000      -17638.4483  -17638.9121       0.4638   299.0
0.8500      -17638.4464  -17638.8320       0.3856   248.6
0.9000      -17638.4476  -17638.8887       0.4411   284.4
0.9500      -17638.4483  -17638.8945       0.4462   287.7
1.0000      -17638.4465  -17638.8555       0.4090   263.7
1.0500      -17638.4475  -17638.8027       0.3552   229.0
1.1000      -17638.4496  -17638.9355       0.4860   313.3
1.1500      -17638.4475  -17638.8438       0.3963   255.5
1.2000      -17638.4461  -17638.8477       0.4016   258.9
1.2500      -17638.4486  -17638.9531       0.5045   325.3
1.3000      -17638.4480  -17638.9160       0.4680   301.7
1.3500      -17638.4469  -17638.8691       0.4223   272.2
1.4000      -17638.4483  -17638.9473       0.4989   321.7
1.4500      -17638.4464  -17638.8438       0.3974   256.2
1.5000      -17638.4462  -17638.8145       0.3683   237.4
1.5500      -17638.4492  -17638.9453       0.4961   319.9
1.6000      -17638.4462  -17638.8320       0.3859   248.8
1.6500      -17638.4461  -17638.8633       0.4172   269.0
1.7000      -17638.4478  -17638.9512       0.5034   324.5
1.7500      -17638.4463  -17638.8906       0.4444   286.5
1.8000      -17638.4482  -17638.9141       0.4659   300.3
1.8500      -17638.4473  -17638.9141       0.4668   300.9
1.9000      -17638.4466  -17638.8496       0.4030   259.8
1.9500      -17638.4478  -17638.8457       0.3979   256.5
2.0000      -17638.4465  -17638.8594       0.4128   266.1
2.0500      -17638.4475  -17638.8398       0.3924   253.0
2.1000      -17638.4467  -17638.8691       0.4224   272.3
2.1500      -17638.4474  -17638.8359       0.3885   250.5
2.2000      -17638.4476  -17638.9297       0.4821   310.8
2.2500      -17638.4465  -17638.8633       0.4167   268.7
2.3000      -17638.4464  -17638.8301       0.3837   247.4
2.3500      -17638.4494  -17638.9688       0.5194   334.9
2.4000      -17638.4463  -17638.8223       0.3760   242.4
2.4500      -17638.4460  -17638.8496       0.4036   260.2
2.5000      -17638.4492  -17638.8730       0.4239   273.3
2.5500      -17638.4468  -17638.8770       0.4301   277.3
2.6000      -17638.4475  -17638.8203       0.3728   240.3
2.6500      -17638.4470  -17638.9180       0.4709   303.6
2.7000      -17638.4472  -17638.8594       0.4122   265.7
2.7500      -17638.4474  -17638.8789       0.4315   278.2
2.8000      -17638.4469  -17638.8867       0.4398   283.5
2.8500      -17638.4469  -17638.8281       0.3813   245.8
2.9000      -17638.4468  -17638.8867       0.4400   283.6
2.9500      -17638.4473  -17638.8730       0.4258   274.5
3.0000      -17638.4475  -17638.8965       0.4489   289.4
3.0500      -17638.4463  -17638.8516       0.4052   261.2
3.1000      -17638.4482  -17638.8809       0.4326   278.9
3.1500      -17638.4461  -17638.8672       0.4211   271.5
3.2000      -17638.4464  -17638.8867       0.4403   283.9
3.2500      -17638.4485  -17638.9062       0.4578   295.1
3.3000      -17638.4457  -17638.8008       0.3551   228.9
3.3500      -17638.4470  -17638.8789       0.4319   278.4
3.4000      -17638.4469  -17638.8691       0.4223   272.2
3.4500      -17638.4477  -17638.9199       0.4722   304.4
3.5000      -17638.4469  -17638.8594       0.4125   266.0
3.5500      -17638.4462  -17638.8613       0.4152   267.7
3.6000      -17638.4492  -17638.9355       0.4864   313.6
3.6500      -17638.4470  -17638.8848       0.4378   282.2
3.7000      -17638.4474  -17638.8438       0.3964   255.5
3.7500      -17638.4489  -17638.9004       0.4515   291.1
3.8000      -17638.4466  -17638.8164       0.3698   238.4
3.8500      -17638.4460  -17638.8457       0.3997   257.7
3.9000      -17638.4476  -17638.9258       0.4782   308.3
3.9500      -17638.4459  -17638.7891       0.3432   221.2
4.0000      -17638.4467  -17638.8516       0.4048   261.0
4.0500      -17638.4479  -17638.9238       0.4759   306.8
4.1000      -17638.4470  -17638.8535       0.4065   262.1
4.1500      -17638.4465  -17638.8750       0.4285   276.3
4.2000      -17638.4478  -17638.8750       0.4272   275.4
4.2500      -17638.4463  -17638.8008       0.3545   228.5
4.3000      -17638.4464  -17638.8340       0.3876   249.9
4.3500      -17638.4467  -17638.8594       0.4127   266.0
4.4000      -17638.4465  -17638.8438       0.3973   256.1
4.4500      -17638.4470  -17638.8594       0.4124   265.8
4.5000      -17638.4473  -17638.8203       0.3730   240.5
4.5500      -17638.4468  -17638.8887       0.4419   284.9
4.6000      -17638.4471  -17638.8457       0.3986   257.0
4.6500      -17638.4480  -17638.9023       0.4544   292.9
4.7000      -17638.4484  -17638.8848       0.4364   281.3
4.7500      -17638.4463  -17638.8418       0.3955   255.0
4.8000      -17638.4466  -17638.8320       0.3855   248.5
4.8500      -17638.4487  -17638.9180       0.4693   302.5
4.9000      -17638.4470  -17638.8438       0.3967   255.8
4.9500      -17638.4476  -17638.8340       0.3864   249.1
5.0000      -17638.4489  -17638.9336       0.4847   312.5
5.0500      -17638.4466  -17638.8184       0.3718   239.7
5.1000      -17638.4456  -17638.8301       0.3844   247.9
5.1500      -17638.4484  -17638.9160       0.4676   301.5
5.2000      -17638.4474  -17638.8691       0.4218   271.9
5.2500      -17638.4470  -17638.8496       0.4026   259.6
5.3000      -17638.4489  -17638.9238       0.4749   306.2
5.3500      -17638.4472  -17638.8457       0.3985   256.9
5.4000      -17638.4458  -17638.7852       0.3393   218.8
5.4500      -17638.4485  -17638.9668       0.5183   334.2
5.5000      -17638.4472  -17638.7871       0.3399   219.1
5.5500      -17638.4474  -17638.8887       0.4413   284.5
5.6000      -17638.4482  -17638.8281       0.3799   244.9
5.6500      -17638.4465  -17638.8281       0.3816   246.0
5.7000      -17638.4478  -17638.8320       0.3842   247.7
5.7500      -17638.4480  -17638.8789       0.4309   277.8
5.8000      -17638.4473  -17638.8398       0.3926   253.1
5.8500      -17638.4478  -17638.8613       0.4135   266.6
5.9000      -17638.4464  -17638.8691       0.4227   272.5
5.9500      -17638.4471  -17638.8340       0.3869   249.5
6.0000      -17638.4469  -17638.8516       0.4046   260.9
6.0500      -17638.4461  -17638.8027       0.3566   229.9
6.1000      -17638.4479  -17638.8613       0.4135   266.6
6.1500      -17638.4479  -17638.8848       0.4369   281.7
6.2000      -17638.4455  -17638.7793       0.3338   215.2
6.2500      -17638.4476  -17638.9336       0.4859   313.3
6.3000      -17638.4471  -17638.8027       0.3557   229.3
6.3500      -17638.4473  -17638.8613       0.4140   266.9
6.4000      -17638.4482  -17638.9062       0.4581   295.3
6.4500      -17638.4460  -17638.8906       0.4446   286.6
6.5000      -17638.4459  -17638.7812       0.3354   216.2
6.5500      -17638.4482  -17638.9258       0.4775   307.9
6.6000      -17638.4465  -17638.8027       0.3563   229.7
6.6500      -17638.4472  -17638.8828       0.4356   280.9
6.7000      -17638.4478  -17638.9199       0.4721   304.4
6.7500      -17638.4454  -17638.8086       0.3632   234.1
6.8000      -17638.4472  -17638.8379       0.3906   251.8
6.8500      -17638.4471  -17638.8926       0.4455   287.2
6.9000      -17638.4461  -17638.8164       0.3703   238.7
6.9500      -17638.4469  -17638.8848       0.4379   282.3
7.0000      -17638.4485  -17638.8965       0.4480   288.8
7.0500      -17638.4458  -17638.8320       0.3863   249.0
7.1000      -17638.4475  -17638.8652       0.4178   269.3
7.1500      -17638.4477  -17638.8984       0.4507   290.6
7.2000      -17638.4469  -17638.7930       0.3461   223.1
7.2500      -17638.4481  -17638.8984       0.4504   290.4
