Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -17636.7820  -17637.6738       0.8918   328.5
0.1000      -17636.7774  -17637.8945       1.1172   411.6
0.2000      -17636.7855  -17637.9688       1.1832   435.9
0.3000      -17636.7872  -17638.1016       1.3143   484.2
0.4000      -17636.7827  -17638.0332       1.2505   460.7
0.5000      -17636.7866  -17638.2441       1.4575   537.0
0.6000      -17636.7837  -17638.1016       1.3179   485.5
0.7000      -17636.7830  -17638.0508       1.2678   467.0
0.8000      -17636.7819  -17637.9492       1.1673   430.0
0.9000      -17636.7764  -17637.8867       1.1104   409.1
1.0000      -17636.7818  -17638.2012       1.4194   522.9
1.1000      -17636.7918  -17638.1758       1.3840   509.8
1.2000      -17636.7850  -17637.9590       1.1740   432.5
1.3000      -17636.7907  -17637.9883       1.1976   441.2
1.4000      -17636.7778  -17638.0703       1.2925   476.2
1.5000      -17636.7933  -17638.0078       1.2145   447.4
1.6000      -17636.7766  -17638.0488       1.2722   468.7
1.7000      -17636.7983  -17638.1836       1.3853   510.3
1.8000      -17636.7938  -17638.2773       1.4836   546.5
1.9000      -17636.7789  -17637.9473       1.1684   430.4
2.0000      -17636.7745  -17637.9512       1.1767   433.5
2.1000      -17636.7793  -17637.9453       1.1660   429.5
2.2000      -17636.7905  -17638.2109       1.4204   523.3
2.3000      -17636.7899  -17638.0000       1.2101   445.8
2.4000      -17636.7863  -17638.2812       1.4949   550.7
2.5000      -17636.7907  -17638.2344       1.4437   531.9
2.6000      -17636.7617  -17637.7988       1.0371   382.1
2.7000      -17636.7904  -17638.3555       1.5650   576.6
2.8000      -17636.7758  -17637.9062       1.1305   416.5
2.9000      -17636.7923  -17638.0605       1.2683   467.2
3.0000      -17636.7893  -17638.1230       1.3337   491.3
3.1000      -17636.7900  -17637.9883       1.1983   441.4
3.2000      -17636.7763  -17638.1953       1.4191   522.8
3.3000      -17636.7804  -17637.8184       1.0380   382.4
3.4000      -17636.7820  -17638.1230       1.3410   494.0
3.5000      -17636.7667  -17637.9141       1.1473   422.7
3.6000      -17636.7691  -17637.9883       1.2192   449.2
3.7000      -17636.7821  -17637.9609       1.1788   434.3
3.8000      -17636.7687  -17637.9258       1.1571   426.3
3.9000      -17636.7907  -17638.1309       1.3401   493.7
4.0000      -17636.7885  -17638.2324       1.4440   532.0
4.1000      -17636.7919  -17638.1523       1.3605   501.2
4.2000      -17636.7702  -17637.7559       0.9856   363.1
4.3000      -17636.7873  -17637.9727       1.1853   436.7
4.4000      -17636.7740  -17638.1152       1.3413   494.1
4.5000      -17636.7844  -17638.2188       1.4344   528.4
4.6000      -17636.7896  -17637.9805       1.1909   438.7
4.7000      -17636.7802  -17637.9766       1.1964   440.7
4.8000      -17636.7961  -17638.3223       1.5261   562.2
4.9000      -17636.7671  -17637.8750       1.1079   408.1
5.0000      -17636.7892  -17638.1758       1.3866   510.8
5.1000      -17636.7953  -17638.2227       1.4274   525.9
5.2000      -17636.7901  -17637.8320       1.0419   383.8
5.3000      -17636.7838  -17637.9023       1.1186   412.1
5.4000      -17636.7831  -17637.9824       1.1993   441.8
5.5000      -17636.7845  -17638.0000       1.2155   447.8
5.6000      -17636.7846  -17638.0469       1.2623   465.0
5.7000      -17636.7877  -17638.1992       1.4115   520.0
5.8000      -17636.7781  -17637.9746       1.1965   440.8
5.9000      -17636.7813  -17637.9082       1.1269   415.2
6.0000      -17636.7804  -17638.0918       1.3114   483.1
6.1000      -17636.7798  -17637.9375       1.1577   426.5
6.2000      -17636.7861  -17637.9102       1.1241   414.1
6.3000      -17636.7834  -17637.9258       1.1424   420.9
6.4000      -17636.7901  -17638.1621       1.3720   505.5
6.5000      -17636.7763  -17637.8301       1.0538   388.2
6.6000      -17636.7915  -17638.0059       1.2143   447.4
6.7000      -17636.7823  -17637.9883       1.2059   444.3
6.8000      -17636.7841  -17637.9199       1.1358   418.4
6.9000      -17636.7849  -17638.1445       1.3596   500.9
7.0000      -17636.7797  -17637.9746       1.1949   440.2
7.1000      -17636.7869  -17638.0117       1.2248   451.2
7.2000      -17636.7685  -17637.8984       1.1300   416.3
7.3000      -17636.7712  -17637.8066       1.0354   381.5
7.4000      -17636.7752  -17637.9434       1.1682   430.4
7.5000      -17636.7746  -17637.6953       0.9207   339.2
7.6000      -17636.7840  -17638.1191       1.3351   491.9
7.7000      -17636.7856  -17637.9414       1.1558   425.8
7.8000      -17636.7847  -17638.1289       1.3442   495.2
7.9000      -17636.7762  -17637.7949       1.0187   375.3
8.0000      -17636.7764  -17637.9102       1.1337   417.7
8.1000      -17636.7851  -17637.9473       1.1622   428.2
8.2000      -17636.7806  -17638.3438       1.5632   575.9
8.3000      -17636.7754  -17637.8945       1.1192   412.3
8.4000      -17636.7741  -17637.8828       1.1088   408.5
8.5000      -17636.7822  -17638.0449       1.2627   465.2
8.6000      -17636.7809  -17638.0449       1.2640   465.7
8.7000      -17636.7862  -17637.8750       1.0888   401.1
8.8000      -17636.7750  -17637.9238       1.1488   423.2
8.9000      -17636.7769  -17637.9434       1.1665   429.7
9.0000      -17636.7873  -17638.3066       1.5194   559.7
9.1000      -17636.7805  -17638.1035       1.3230   487.4
9.2000      -17636.7960  -17638.4551       1.6590   611.2
9.3000      -17636.7859  -17638.1699       1.3841   509.9
9.4000      -17636.7693  -17638.1133       1.3440   495.1
9.5000      -17636.7802  -17637.9609       1.1808   435.0
9.6000      -17636.7766  -17638.0273       1.2507   460.8
9.7000      -17636.7797  -17638.0898       1.3101   482.6
9.8000      -17636.7815  -17638.2031       1.4217   523.7
9.9000      -17636.7848  -17638.1699       1.3851   510.3
10.0000     -17636.7776  -17638.0469       1.2693   467.6
10.1000     -17636.7853  -17637.8906       1.1054   407.2
10.2000     -17636.7903  -17638.3711       1.5808   582.4
10.3000     -17636.7809  -17638.1934       1.4125   520.4
10.4000     -17636.7814  -17637.8750       1.0936   402.9
10.5000     -17636.7830  -17637.9844       1.2014   442.6
10.6000     -17636.7765  -17637.8770       1.1004   405.4
10.7000     -17636.7879  -17638.2305       1.4426   531.4
10.8000     -17636.7816  -17637.9141       1.1325   417.2
10.9000     -17636.7910  -17638.0605       1.2696   467.7
11.0000     -17636.7781  -17637.9121       1.1341   417.8
11.1000     -17636.7899  -17638.1270       1.3371   492.6
11.2000     -17636.7758  -17637.9961       1.2203   449.5
11.3000     -17636.7809  -17638.0293       1.2484   459.9
11.4000     -17636.7766  -17637.8672       1.0906   401.8
11.5000     -17636.7744  -17638.1484       1.3740   506.2
11.6000     -17636.7864  -17638.1797       1.3932   513.3
11.7000     -17636.7754  -17637.8906       1.1152   410.8
11.8000     -17636.7754  -17637.9160       1.1406   420.2
11.9000     -17636.7821  -17638.0039       1.2218   450.1
12.0000     -17636.7837  -17638.1914       1.4077   518.6
12.1000     -17636.7818  -17637.9434       1.1615   427.9
12.2000     -17636.7797  -17637.7871       1.0074   371.1
12.3000     -17636.7799  -17638.0195       1.2396   456.7
12.4000     -17636.7756  -17637.8438       1.0682   393.5
12.5000     -17636.7818  -17638.1035       1.3217   486.9
12.6000     -17636.7861  -17637.9219       1.1358   418.4
12.7000     -17636.7830  -17638.0879       1.3049   480.7
12.8000     -17636.7835  -17638.0703       1.2868   474.1
12.9000     -17636.7820  -17638.2383       1.4563   536.5
13.0000     -17636.7857  -17638.0254       1.2397   456.7
13.1000     -17636.7746  -17637.9922       1.2176   448.6
13.2000     -17636.7773  -17638.0176       1.2403   456.9
13.3000     -17636.7820  -17637.9648       1.1829   435.8
13.4000     -17636.7734  -17638.0645       1.2911   475.6
13.5000     -17636.7811  -17637.9238       1.1427   421.0
13.6000     -17636.7800  -17638.1211       1.3411   494.0
13.7000     -17636.7824  -17637.9863       1.2040   443.5
13.8000     -17636.7819  -17637.8691       1.0872   400.5
13.9000     -17636.7844  -17638.0527       1.2684   467.3
14.0000     -17636.7762  -17637.9863       1.2102   445.8
14.1000     -17636.7903  -17637.8125       1.0222   376.6
14.2000     -17636.7967  -17638.1172       1.3204   486.4
14.3000     -17636.7896  -17638.0625       1.2729   468.9
14.4000     -17636.7832  -17638.1426       1.3593   500.8
14.5000     -17636.7760  -17638.0137       1.2377   456.0
14.6000     -17636.8115  -17638.3477       1.5361   565.9
14.7000     -17636.7902  -17638.0723       1.2821   472.3
