Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -17636.3516  -17637.8379       1.4863   547.5
0.0500      -17636.6091  -17637.5332       0.9241   340.4
0.1000      -17636.8194  -17638.1719       1.3525   498.3
0.1500      -17636.2132  -17637.7207       1.5075   555.4
0.2000      -17637.0930  -17638.2188       1.1258   414.7
0.2500      -17636.6566  -17638.2285       1.5719   579.1
0.3000      -17636.8165  -17638.3223       1.5058   554.7
0.3500      -17636.8072  -17637.7754       0.9682   356.7
0.4000      -17636.1781  -17637.8086       1.6305   600.7
0.4500      -17637.0511  -17638.1270       1.0759   396.4
0.5000      -17636.3034  -17637.6875       1.3841   509.9
0.5500      -17636.6350  -17637.8789       1.2440   458.3
0.6000      -17636.3075  -17637.9492       1.6417   604.8
0.6500      -17636.1901  -17637.7246       1.5345   565.3
0.7000      -17637.0467  -17638.1367       1.0900   401.6
0.7500      -17636.3240  -17637.7207       1.3967   514.6
0.8000      -17636.7672  -17637.8145       1.0473   385.8
0.8500      -17636.5291  -17637.9980       1.4689   541.2
0.9000      -17636.4922  -17637.9414       1.4492   533.9
0.9500      -17636.8899  -17638.0508       1.1609   427.7
1.0000      -17636.3331  -17637.8711       1.5380   566.6
1.0500      -17636.8186  -17637.8730       1.0544   388.5
1.1000      -17636.3779  -17637.6641       1.2862   473.8
1.1500      -17636.6415  -17637.7832       1.1417   420.6
1.2000      -17636.6152  -17638.1582       1.5431   568.5
1.2500      -17636.8406  -17638.2559       1.4152   521.4
1.3000      -17636.3426  -17637.7754       1.4328   527.9
1.3500      -17637.0061  -17637.9688       0.9627   354.6
1.4000      -17636.0641  -17638.0762       2.0121   741.2
1.4500      -17636.4905  -17637.9551       1.4645   539.5
1.5000      -17637.0698  -17638.1875       1.1177   411.7
1.5500      -17636.0914  -17637.5762       1.4848   547.0
1.6000      -17636.9245  -17638.0859       1.1615   427.9
1.6500      -17636.4613  -17637.9980       1.5368   566.1
1.7000      -17636.7923  -17638.3379       1.5456   569.4
1.7500      -17636.9707  -17637.9609       0.9902   364.8
1.8000      -17636.3323  -17637.7988       1.4665   540.3
1.8500      -17636.7669  -17637.8145       1.0476   385.9
1.9000      -17636.3022  -17637.6602       1.3580   500.3
1.9500      -17636.7797  -17638.2871       1.5075   555.3
2.0000      -17636.6956  -17638.1367       1.4411   530.9
2.0500      -17636.5334  -17637.8672       1.3338   491.4
2.1000      -17636.4240  -17637.9043       1.4803   545.3
2.1500      -17636.4670  -17637.8223       1.3553   499.3
2.2000      -17637.0694  -17638.2441       1.1747   432.8
2.2500      -17636.4069  -17638.1309       1.7240   635.1
2.3000      -17636.3126  -17637.8867       1.5741   579.9
2.3500      -17636.8132  -17638.0957       1.2826   472.5
2.4000      -17636.2011  -17637.9199       1.7188   633.2
2.4500      -17637.1550  -17637.9141       0.7590   279.6
2.5000      -17636.7196  -17638.0000       1.2804   471.7
2.5500      -17636.3500  -17637.9590       1.6090   592.7
2.6000      -17637.0136  -17638.0098       0.9961   367.0
2.6500      -17636.2186  -17637.6328       1.4142   521.0
2.7000      -17636.9143  -17638.0684       1.1541   425.2
2.7500      -17636.4630  -17637.8672       1.4041   517.3
2.8000      -17636.2745  -17637.4453       1.1708   431.3
2.8500      -17636.7670  -17638.1758       1.4087   519.0
2.9000      -17636.1962  -17638.0156       1.8195   670.3
2.9500      -17637.1731  -17638.0801       0.9070   334.1
3.0000      -17636.4326  -17638.2500       1.8174   669.5
3.0500      -17636.4203  -17638.0371       1.6168   595.6
3.1000      -17637.0745  -17638.0898       1.0153   374.0
3.1500      -17636.4591  -17637.8691       1.4101   519.5
3.2000      -17636.7046  -17638.0312       1.3266   488.7
3.2500      -17636.6197  -17637.8184       1.1986   441.6
3.3000      -17636.4598  -17638.0781       1.6184   596.2
3.3500      -17637.0382  -17638.3418       1.3036   480.2
3.4000      -17636.2508  -17637.6055       1.3547   499.1
3.4500      -17636.7893  -17637.6777       0.8884   327.3
3.5000      -17636.5404  -17637.8496       1.3092   482.3
3.5500      -17636.4116  -17638.0625       1.6509   608.2
3.6000      -17636.8698  -17638.0977       1.2278   452.3
3.6500      -17636.0364  -17637.6289       1.5925   586.7
3.7000      -17636.9044  -17638.1152       1.2108   446.1
3.7500      -17636.7318  -17637.7539       1.0221   376.5
3.8000      -17636.4234  -17638.1953       1.7720   652.8
3.8500      -17637.0978  -17638.2285       1.1307   416.5
3.9000      -17636.5474  -17638.1094       1.5620   575.4
3.9500      -17636.7546  -17637.9785       1.2239   450.9
4.0000      -17636.7257  -17638.0410       1.3153   484.5
4.0500      -17636.5245  -17637.8672       1.3427   494.6
4.1000      -17637.2205  -17638.0684       0.8479   312.4
4.1500      -17636.0289  -17637.8516       1.8227   671.5
4.2000      -17637.0786  -17638.2891       1.2104   445.9
4.2500      -17636.3691  -17637.8262       1.4571   536.8
4.3000      -17636.4878  -17637.8770       1.3892   511.8
4.3500      -17637.1247  -17638.1855       1.0608   390.8
4.4000      -17635.8985  -17637.6504       1.7519   645.4
4.4500      -17636.8837  -17638.2246       1.3409   494.0
4.5000      -17636.2486  -17637.5723       1.3237   487.7
4.5500      -17636.7570  -17638.0371       1.2801   471.6
4.6000      -17636.7858  -17637.9805       1.1947   440.1
4.6500      -17636.4560  -17637.8672       1.4111   519.9
4.7000      -17636.6742  -17638.0547       1.3805   508.6
4.7500      -17636.5934  -17637.8477       1.2543   462.1
