Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -17636.9149  -17637.8066       0.8918   328.5
0.0500      -17636.9485  -17637.9883       1.0397   383.0
0.1000      -17636.9557  -17638.2520       1.2963   477.5
0.1500      -17636.9049  -17638.1211       1.2162   448.0
0.2000      -17636.9005  -17638.1426       1.2421   457.6
0.2500      -17636.9162  -17638.2246       1.3085   482.0
0.3000      -17636.9500  -17638.2246       1.2746   469.6
0.3500      -17636.9074  -17638.1641       1.2567   463.0
0.4000      -17636.9346  -17637.9785       1.0439   384.6
0.4500      -17636.9041  -17638.0371       1.1330   417.4
0.5000      -17636.8344  -17638.0801       1.2457   458.9
0.5500      -17636.9170  -17638.2539       1.3369   492.5
0.6000      -17636.9312  -17637.9395       1.0083   371.5
0.6500      -17636.8945  -17638.0332       1.1387   419.5
0.7000      -17636.9112  -17638.5293       1.6181   596.1
0.7500      -17636.9251  -17638.0059       1.0807   398.1
0.8000      -17636.9419  -17638.0215       1.0796   397.7
0.8500      -17636.9062  -17638.0488       1.1427   421.0
0.9000      -17636.8986  -17638.0977       1.1991   441.7
0.9500      -17636.8703  -17638.0039       1.1336   417.6
1.0000      -17636.8303  -17638.1406       1.3103   482.7
1.0500      -17636.8243  -17638.0898       1.2656   466.2
1.1000      -17636.8010  -17637.8535       1.0525   387.7
1.1500      -17636.8086  -17638.0176       1.2090   445.4
1.2000      -17636.8279  -17637.8359       1.0080   371.3
1.2500      -17636.8302  -17638.0879       1.2577   463.3
1.3000      -17636.8665  -17637.9805       1.1140   410.4
1.3500      -17636.8834  -17638.1406       1.2572   463.2
1.4000      -17636.8621  -17638.1055       1.2434   458.1
1.4500      -17636.8328  -17637.9258       1.0930   402.7
1.5000      -17636.8697  -17638.1035       1.2339   454.6
1.5500      -17636.8083  -17637.9395       1.1312   416.7
1.6000      -17636.7982  -17638.1445       1.3463   496.0
1.6500      -17636.8485  -17638.0273       1.1789   434.3
1.7000      -17636.8469  -17637.9512       1.1042   406.8
1.7500      -17636.8697  -17637.8945       1.0248   377.6
1.8000      -17636.8462  -17637.9746       1.1284   415.7
1.8500      -17636.7935  -17638.0684       1.2748   469.6
1.9000      -17636.8402  -17638.1367       1.2965   477.6
1.9500      -17636.9004  -17638.1133       1.2129   446.8
2.0000      -17636.8318  -17637.8691       1.0373   382.1
2.0500      -17636.8216  -17638.0410       1.2194   449.2
2.1000      -17636.8452  -17638.0938       1.2486   460.0
2.1500      -17636.8577  -17637.7051       0.8473   312.2
2.2000      -17636.8202  -17638.2305       1.4102   519.5
2.2500      -17636.8302  -17637.9922       1.1620   428.1
2.3000      -17636.8187  -17638.0625       1.2438   458.2
2.3500      -17636.7999  -17638.0215       1.2216   450.0
2.4000      -17636.8301  -17638.2832       1.4531   535.3
2.4500      -17636.8234  -17637.8926       1.0692   393.9
2.5000      -17636.8353  -17638.3965       1.5612   575.1
2.5500      -17636.8547  -17638.1309       1.2762   470.2
2.6000      -17636.8539  -17637.9629       1.1090   408.6
2.6500      -17636.8512  -17638.3379       1.4867   547.7
2.7000      -17636.8725  -17638.1914       1.3189   485.9
2.7500      -17636.8392  -17637.8164       0.9772   360.0
2.8000      -17636.8909  -17638.3594       1.4685   541.0
2.8500      -17636.8356  -17638.1191       1.2836   472.9
2.9000      -17636.8506  -17637.8242       0.9737   358.7
2.9500      -17636.8473  -17638.2207       1.3734   506.0
