Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -17636.8992  -17637.7910       0.8918   328.5
0.0500      -17636.8733  -17637.8301       0.9568   352.5
0.1000      -17636.9362  -17638.0938       1.1576   426.5
0.1500      -17636.8552  -17638.0527       1.1975   441.2
0.2000      -17636.8919  -17638.1016       1.2096   445.6
0.2500      -17636.9115  -17638.1484       1.2370   455.7
0.3000      -17636.8933  -17638.3574       1.4641   539.4
0.3500      -17636.8876  -17638.0000       1.1124   409.8
0.4000      -17636.9021  -17638.0879       1.1858   436.9
0.4500      -17636.9159  -17638.1523       1.2365   455.5
0.5000      -17636.9076  -17638.1113       1.2037   443.4
0.5500      -17636.9312  -17638.2012       1.2699   467.8
0.6000      -17636.8724  -17637.9688       1.0964   403.9
0.6500      -17636.9237  -17638.1875       1.2638   465.6
0.7000      -17636.8849  -17638.0996       1.2147   447.5
0.7500      -17636.9193  -17638.2695       1.3502   497.4
0.8000      -17636.9367  -17638.0000       1.0633   391.7
0.8500      -17636.9331  -17638.3457       1.4126   520.4
0.9000      -17636.9190  -17638.2324       1.3134   483.9
0.9500      -17636.9336  -17638.1953       1.2618   464.8
1.0000      -17636.8944  -17638.2480       1.3537   498.7
1.0500      -17636.9048  -17638.0586       1.1538   425.1
1.1000      -17636.8832  -17638.3691       1.4859   547.4
1.1500      -17636.9166  -17638.1660       1.2494   460.3
1.2000      -17636.8665  -17638.1504       1.2838   473.0
1.2500      -17636.8872  -17638.0156       1.1285   415.7
1.3000      -17636.8958  -17637.9609       1.0651   392.4
1.3500      -17636.8740  -17638.1602       1.2862   473.8
1.4000      -17636.8643  -17638.2109       1.3467   496.1
1.4500      -17636.9021  -17638.0859       1.1838   436.1
1.5000      -17636.8510  -17638.0234       1.1724   431.9
1.5500      -17636.8942  -17638.1719       1.2777   470.7
1.6000      -17636.8595  -17637.9961       1.1366   418.7
1.6500      -17636.8576  -17638.0586       1.2010   442.4
1.7000      -17636.8836  -17637.9961       1.1125   409.8
1.7500      -17636.8472  -17638.1777       1.3305   490.2
1.8000      -17636.8390  -17638.0371       1.1981   441.4
1.8500      -17636.8496  -17637.8281       0.9785   360.5
1.9000      -17636.8569  -17638.3320       1.4751   543.4
1.9500      -17636.8421  -17638.0488       1.2067   444.5
2.0000      -17636.8444  -17638.1074       1.2630   465.3
2.0500      -17636.8274  -17637.8594       1.0320   380.2
2.1000      -17636.8445  -17638.2383       1.3938   513.5
2.1500      -17636.8997  -17638.1348       1.2350   455.0
2.2000      -17636.8620  -17637.7734       0.9114   335.8
2.2500      -17636.8624  -17638.2129       1.3505   497.5
2.3000      -17636.8248  -17638.0234       1.1986   441.6
2.3500      -17636.8525  -17638.1621       1.3096   482.5
2.4000      -17636.8531  -17638.2227       1.3696   504.5
2.4500      -17636.8218  -17638.1680       1.3462   495.9
2.5000      -17636.8034  -17638.0723       1.2689   467.5
2.5500      -17636.8350  -17638.3359       1.5010   553.0
2.6000      -17636.8169  -17637.8223       1.0053   370.4
2.6500      -17636.8926  -17637.8906       0.9980   367.7
2.7000      -17636.8571  -17638.2578       1.4007   516.0
2.7500      -17636.8591  -17638.0352       1.1760   433.2
2.8000      -17636.8287  -17638.1641       1.3353   491.9
2.8500      -17636.8719  -17638.1406       1.2687   467.4
2.9000      -17636.8701  -17638.0723       1.2021   442.9
2.9500      -17636.8807  -17638.1211       1.2404   457.0
3.0000      -17636.8681  -17638.1406       1.2726   468.8
3.0500      -17636.8614  -17637.8906       1.0292   379.2
3.1000      -17636.8992  -17638.2188       1.3195   486.1
3.1500      -17636.9005  -17638.0703       1.1698   431.0
3.2000      -17636.8674  -17638.1367       1.2693   467.6
3.2500      -17636.8718  -17638.1816       1.3098   482.5
3.3000      -17636.8683  -17637.8164       0.9481   349.3
3.3500      -17636.8673  -17638.5254       1.6581   610.9
3.4000      -17636.8652  -17638.2129       1.3477   496.5
3.4500      -17636.8118  -17638.0117       1.1999   442.1
3.5000      -17636.8297  -17638.0781       1.2484   459.9
3.5500      -17636.8526  -17637.9238       1.0713   394.6
3.6000      -17636.8115  -17637.9590       1.1475   422.7
3.6500      -17636.8646  -17638.0918       1.2272   452.1
3.7000      -17636.8070  -17637.7598       0.9527   351.0
3.7500      -17636.8175  -17637.8711       1.0536   388.2
3.8000      -17636.8371  -17638.1172       1.2801   471.6
3.8500      -17636.8427  -17638.2461       1.4034   517.0
