Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -17638.3720  -17638.9668       0.5948   383.5
0.0500      -17638.3429  -17638.7188       0.3758   242.3
0.1000      -17638.3695  -17638.8066       0.4372   281.8
0.1500      -17638.3711  -17638.7832       0.4121   265.7
0.2000      -17638.3592  -17638.7363       0.3771   243.1
0.2500      -17638.3516  -17638.8359       0.4843   312.2
0.3000      -17638.3798  -17638.7793       0.3995   257.6
0.3500      -17638.3671  -17638.7344       0.3673   236.8
0.4000      -17638.3563  -17638.8125       0.4562   294.1
0.4500      -17638.3648  -17638.7500       0.3852   248.3
0.5000      -17638.3792  -17638.8633       0.4841   312.1
0.5500      -17638.3569  -17638.7891       0.4321   278.6
0.6000      -17638.3607  -17638.7832       0.4225   272.4
0.6500      -17638.3729  -17638.8281       0.4553   293.5
0.7000      -17638.3659  -17638.7891       0.4232   272.8
0.7500      -17638.3643  -17638.7812       0.4170   268.8
0.8000      -17638.3631  -17638.7539       0.3908   251.9
0.8500      -17638.3749  -17638.7852       0.4103   264.5
0.9000      -17638.3686  -17638.7188       0.3502   225.8
0.9500      -17638.3677  -17638.8203       0.4526   291.8
1.0000      -17638.3640  -17638.7461       0.3821   246.3
1.0500      -17638.3797  -17638.7402       0.3605   232.4
1.1000      -17638.3629  -17638.7695       0.4066   262.1
1.1500      -17638.3587  -17638.8008       0.4420   285.0
1.2000      -17638.3788  -17638.7773       0.3985   256.9
1.2500      -17638.3739  -17638.8184       0.4445   286.5
1.3000      -17638.3584  -17638.7930       0.4346   280.2
1.3500      -17638.3636  -17638.8184       0.4548   293.2
1.4000      -17638.3768  -17638.7832       0.4064   262.0
1.4500      -17638.3759  -17638.8184       0.4425   285.3
1.5000      -17638.3581  -17638.7676       0.4095   264.0
1.5500      -17638.3578  -17638.7539       0.3961   255.4
1.6000      -17638.3865  -17638.7832       0.3967   255.8
1.6500      -17638.3611  -17638.8184       0.4572   294.8
1.7000      -17638.3569  -17638.8066       0.4497   289.9
1.7500      -17638.3722  -17638.6914       0.3193   205.8
1.8000      -17638.3855  -17638.8066       0.4212   271.5
1.8500      -17638.3518  -17638.7637       0.4119   265.5
1.9000      -17638.3575  -17638.8203       0.4628   298.4
1.9500      -17638.3857  -17638.7930       0.4073   262.6
2.0000      -17638.3764  -17638.8086       0.4321   278.6
2.0500      -17638.3450  -17638.7070       0.3621   233.4
2.1000      -17638.3646  -17638.8574       0.4928   317.7
2.1500      -17638.3883  -17638.7852       0.3968   255.8
2.2000      -17638.3553  -17638.7988       0.4436   286.0
2.2500      -17638.3459  -17638.7227       0.3768   242.9
2.3000      -17638.3731  -17638.8066       0.4335   279.5
2.3500      -17638.3729  -17638.7461       0.3731   240.6
2.4000      -17638.3508  -17638.7324       0.3816   246.0
2.4500      -17638.3651  -17638.8398       0.4748   306.1
2.5000      -17638.3807  -17638.7207       0.3400   219.2
2.5500      -17638.3643  -17638.7930       0.4287   276.4
2.6000      -17638.3557  -17638.7383       0.3826   246.7
2.6500      -17638.3696  -17638.8320       0.4625   298.2
2.7000      -17638.3731  -17638.7676       0.3945   254.3
2.7500      -17638.3814  -17638.7852       0.4037   260.3
2.8000      -17638.3576  -17638.7988       0.4412   284.5
2.8500      -17638.3673  -17638.8164       0.4491   289.6
2.9000      -17638.3775  -17638.7500       0.3725   240.2
2.9500      -17638.3694  -17638.8418       0.4724   304.5
3.0000      -17638.3616  -17638.7871       0.4255   274.3
3.0500      -17638.3716  -17638.7734       0.4018   259.0
3.1000      -17638.3830  -17638.7441       0.3612   232.8
3.1500      -17638.3699  -17638.7910       0.4211   271.5
3.2000      -17638.3592  -17638.8008       0.4415   284.7
3.2500      -17638.3589  -17638.8320       0.4732   305.0
3.3000      -17638.3786  -17638.7559       0.3773   243.2
3.3500      -17638.3599  -17638.7480       0.3881   250.2
3.4000      -17638.3557  -17638.8555       0.4998   322.2
3.4500      -17638.3654  -17638.7129       0.3475   224.0
3.5000      -17638.3651  -17638.8652       0.5002   322.5
3.5500      -17638.3526  -17638.7852       0.4325   278.9
3.6000      -17638.3550  -17638.7617       0.4067   262.2
3.6500      -17638.3551  -17638.7676       0.4125   265.9
3.7000      -17638.3651  -17638.7969       0.4317   278.3
3.7500      -17638.3402  -17638.7871       0.4469   288.1
3.8000      -17638.3520  -17638.7520       0.3999   257.8
3.8500      -17638.3756  -17638.7266       0.3509   226.2
3.9000      -17638.3603  -17638.7637       0.4034   260.1
3.9500      -17638.3408  -17638.7832       0.4424   285.2
4.0000      -17638.3533  -17638.8027       0.4494   289.7
4.0500      -17638.3749  -17638.7422       0.3673   236.8
4.1000      -17638.3502  -17638.7773       0.4272   275.4
4.1500      -17638.3457  -17638.7480       0.4023   259.4
4.2000      -17638.3482  -17638.7734       0.4252   274.1
4.2500      -17638.3607  -17638.8867       0.5261   339.1
4.3000      -17638.3364  -17638.6699       0.3335   215.0
4.3500      -17638.3521  -17638.8066       0.4545   293.0
4.4000      -17638.3581  -17638.7109       0.3528   227.5
4.4500      -17638.3497  -17638.7949       0.4452   287.0
4.5000      -17638.3320  -17638.7598       0.4277   275.8
4.5500      -17638.3514  -17638.7969       0.4454   287.2
4.6000      -17638.3626  -17638.7168       0.3542   228.3
4.6500      -17638.3446  -17638.7637       0.4191   270.2
4.7000      -17638.3301  -17638.8125       0.4824   311.0
4.7500      -17638.3598  -17638.7754       0.4156   267.9
