Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -17636.5078  -17637.9941       1.4863   547.5
0.0050      -17636.4944  -17637.9824       1.4880   548.2
0.0100      -17636.3586  -17637.8809       1.5223   560.8
0.0150      -17636.1744  -17637.9531       1.7788   655.3
0.0200      -17636.4584  -17638.1250       1.6666   614.0
0.0250      -17636.9082  -17637.9688       1.0605   390.7
0.0300      -17637.0978  -17638.0703       0.9725   358.3
0.0350      -17637.0203  -17638.0508       1.0304   379.6
0.0400      -17636.7941  -17638.2559       1.4617   538.5
0.0450      -17636.7697  -17638.2754       1.5057   554.7
0.0500      -17636.9247  -17638.2793       1.3546   499.0
0.0550      -17637.1833  -17638.1602       0.9768   359.9
0.0600      -17637.1607  -17638.2031       1.0424   384.0
0.0650      -17637.0507  -17638.2891       1.2383   456.2
0.0700      -17636.8821  -17638.1875       1.3054   480.9
0.0750      -17636.8140  -17638.1465       1.3325   490.9
0.0800      -17636.5813  -17638.0742       1.4929   550.0
0.0850      -17636.3451  -17638.0469       1.7017   626.9
0.0900      -17636.2341  -17638.0742       1.8402   677.9
0.0950      -17636.3348  -17638.0820       1.7473   643.7
0.1000      -17636.7866  -17637.8281       1.0415   383.7
0.1050      -17636.5520  -17637.9180       1.3660   503.2
0.1100      -17636.3739  -17638.0352       1.6612   612.0
0.1150      -17636.3775  -17638.0645       1.6870   621.5
0.1200      -17636.7859  -17638.0820       1.2961   477.5
0.1250      -17637.0088  -17638.1602       1.1514   424.2
0.1300      -17637.2949  -17638.1797       0.8848   325.9
0.1350      -17637.0664  -17638.2793       1.2129   446.8
0.1400      -17636.9974  -17638.3047       1.3073   481.6
0.1450      -17636.8757  -17638.2891       1.4134   520.7
0.1500      -17637.0463  -17638.1074       1.0612   390.9
0.1550      -17636.9430  -17638.1953       1.2523   461.4
0.1600      -17636.8615  -17638.0508       1.1893   438.1
0.1650      -17636.8062  -17638.0898       1.2837   472.9
0.1700      -17636.5925  -17638.0859       1.4934   550.2
0.1750      -17636.4995  -17637.9941       1.4946   550.6
0.1800      -17636.3605  -17637.8965       1.5360   565.8
0.1850      -17636.2413  -17638.1758       1.9345   712.7
0.1900      -17636.4423  -17638.2480       1.8058   665.2
0.1950      -17636.7703  -17638.2383       1.4680   540.8
0.2000      -17637.0122  -17638.1250       1.1128   410.0
0.2050      -17636.9112  -17638.1191       1.2080   445.0
0.2100      -17636.9418  -17638.2207       1.2790   471.2
0.2150      -17637.0119  -17638.1875       1.1756   433.1
0.2200      -17637.1616  -17638.2012       1.0396   383.0
0.2250      -17637.1746  -17638.1621       0.9875   363.8
0.2300      -17637.2439  -17638.2383       0.9944   366.3
0.2350      -17637.0391  -17638.3027       1.2636   465.5
0.2400      -17636.7671  -17638.2246       1.4575   536.9
0.2450      -17636.6000  -17638.0430       1.4430   531.6
0.2500      -17636.4249  -17638.0332       1.6083   592.5
