Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -17636.7860  -17637.6777       0.8918   328.5
0.1000      -17636.7254  -17638.2109       1.4856   547.3
0.2000      -17636.7458  -17638.0332       1.2874   474.3
0.3000      -17636.7528  -17638.0039       1.2511   460.9
0.4000      -17636.7866  -17637.9922       1.2056   444.1
0.5000      -17636.7006  -17637.9062       1.2057   444.2
0.6000      -17636.6849  -17637.7168       1.0319   380.2
0.7000      -17636.7011  -17637.6816       0.9805   361.2
0.8000      -17636.7208  -17637.9980       1.2772   470.5
0.9000      -17636.7015  -17638.2148       1.5133   557.5
1.0000      -17636.7105  -17637.7930       1.0825   398.8
1.1000      -17636.7165  -17637.9414       1.2250   451.3
1.2000      -17636.6994  -17638.0703       1.3709   505.0
1.3000      -17636.6511  -17637.7930       1.1419   420.7
1.4000      -17636.6721  -17637.8418       1.1697   430.9
1.5000      -17636.6313  -17637.8105       1.1793   434.4
1.6000      -17636.6973  -17638.0059       1.3086   482.1
1.7000      -17636.6676  -17638.2188       1.5511   571.4
1.8000      -17636.6643  -17637.7734       1.1092   408.6
1.9000      -17636.6831  -17638.1270       1.4439   531.9
2.0000      -17636.6768  -17637.9727       1.2959   477.4
2.1000      -17636.6285  -17638.0977       1.4692   541.2
2.2000      -17636.5520  -17637.5430       0.9910   365.1
2.3000      -17636.6062  -17637.9160       1.3098   482.5
2.4000      -17636.6102  -17638.0273       1.4171   522.1
2.5000      -17636.6289  -17637.9707       1.3418   494.3
2.6000      -17636.6056  -17637.6934       1.0877   400.7
2.7000      -17636.5608  -17637.9629       1.4021   516.5
2.8000      -17636.5930  -17637.9492       1.3562   499.6
2.9000      -17636.5126  -17638.0137       1.5010   553.0
3.0000      -17636.4819  -17637.8750       1.3931   513.2
3.1000      -17636.4902  -17637.8867       1.3966   514.5
3.2000      -17636.5022  -17637.8984       1.3962   514.4
3.3000      -17636.4270  -17637.7461       1.3191   485.9
3.4000      -17636.5199  -17638.0566       1.5367   566.1
3.5000      -17636.4642  -17637.6660       1.2018   442.7
3.6000      -17636.5166  -17638.1699       1.6533   609.1
3.7000      -17636.4457  -17638.0195       1.5738   579.8
3.8000      -17636.5622  -17637.6719       1.1097   408.8
3.9000      -17636.4987  -17637.8438       1.3450   495.5
4.0000      -17636.4593  -17637.7871       1.3278   489.2
4.1000      -17636.4726  -17637.9062       1.4336   528.1
4.2000      -17636.4918  -17637.9824       1.4906   549.1
4.3000      -17636.4923  -17637.6582       1.1659   429.5
4.4000      -17636.4831  -17637.8828       1.3997   515.6
4.5000      -17636.4164  -17637.6855       1.2691   467.5
4.6000      -17636.4240  -17637.9844       1.5604   574.8
4.7000      -17636.4704  -17637.9395       1.4690   541.2
4.8000      -17636.4413  -17637.6621       1.2208   449.7
4.9000      -17636.4487  -17637.7656       1.3169   485.2
5.0000      -17636.4483  -17637.7988       1.3506   497.5
5.1000      -17636.4453  -17637.8672       1.4219   523.8
5.2000      -17636.5354  -17637.8867       1.3513   497.8
5.3000      -17636.4634  -17638.0195       1.5562   573.3
5.4000      -17636.4566  -17637.9277       1.4711   541.9
5.5000      -17636.4658  -17637.8164       1.3506   497.6
5.6000      -17636.5031  -17637.8789       1.3759   506.9
5.7000      -17636.4200  -17637.6309       1.2108   446.1
5.8000      -17636.3319  -17637.8418       1.5099   556.2
5.9000      -17636.3496  -17637.9707       1.6211   597.2
6.0000      -17636.2973  -17637.9746       1.6773   617.9
6.1000      -17636.2974  -17637.8066       1.5092   556.0
6.2000      -17636.3276  -17638.0215       1.6939   624.0
6.3000      -17636.3299  -17637.9004       1.5705   578.6
6.4000      -17636.3579  -17637.9297       1.5718   579.0
6.5000      -17636.1898  -17637.4102       1.2204   449.6
6.6000      -17636.2300  -17637.8379       1.6079   592.3
6.7000      -17636.2125  -17637.9746       1.7621   649.1
6.8000      -17636.3030  -17637.9414       1.6385   603.6
6.9000      -17636.3087  -17638.1152       1.8065   665.5
7.0000      -17636.2522  -17637.9062       1.6541   609.4
7.1000      -17636.2823  -17637.9141       1.6318   601.1
7.2000      -17636.2557  -17637.4551       1.1994   441.9
7.3000      -17636.2931  -17637.4863       1.1932   439.6
7.4000      -17636.2939  -17637.5859       1.2920   476.0
7.5000      -17636.2182  -17637.7500       1.5318   564.3
7.6000      -17636.3211  -17637.9121       1.5910   586.1
7.7000      -17636.2876  -17637.7559       1.4683   540.9
7.8000      -17636.3178  -17637.8672       1.5494   570.8
7.9000      -17636.3084  -17637.5586       1.2502   460.6
8.0000      -17636.3303  -17637.9062       1.5760   580.6
8.1000      -17636.2524  -17637.8086       1.5562   573.3
8.2000      -17636.2930  -17637.7090       1.4159   521.6
8.3000      -17636.2614  -17637.6523       1.3910   512.4
8.4000      -17636.2309  -17637.9902       1.7594   648.1
8.5000      -17636.2401  -17637.4629       1.2227   450.5
8.6000      -17636.2578  -17638.0078       1.7501   644.7
8.7000      -17636.2013  -17638.0762       1.8749   690.7
8.8000      -17636.2583  -17637.8848       1.6264   599.2
8.9000      -17636.1851  -17637.7617       1.5766   580.8
9.0000      -17636.2012  -17638.1465       1.9453   716.6
9.1000      -17636.2527  -17637.8535       1.6008   589.7
9.2000      -17636.1904  -17637.7070       1.5166   558.7
9.3000      -17636.2118  -17637.8223       1.6105   593.3
9.4000      -17636.1549  -17637.6055       1.4506   534.4
9.5000      -17636.2198  -17637.9121       1.6923   623.4
