Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.4135       0.3755       0.0381   294.6
1.0000           0.4127       0.2580       0.1546  1196.4
2.0000           0.4127       0.2870       0.1257   972.4
3.0000           0.4126       0.2639       0.1488  1151.0
4.0000           0.4126       0.2438       0.1688  1305.9
5.0000           0.4126       0.2592       0.1534  1187.0
6.0000           0.4121       0.2825       0.1296  1003.0
7.0000           0.4121       0.2867       0.1253   969.5
8.0000           0.4123       0.2968       0.1155   893.7
9.0000           0.4125       0.3128       0.0997   771.0
10.0000          0.4128       0.2916       0.1213   938.2
11.0000          0.4127       0.2600       0.1527  1181.3
12.0000          0.4127       0.2561       0.1566  1211.4
13.0000          0.4127       0.2626       0.1501  1161.5
14.0000          0.4127       0.2744       0.1383  1070.2
15.0000          0.4126       0.2719       0.1407  1088.8
16.0000          0.4127       0.2786       0.1341  1037.7
17.0000          0.4127       0.2656       0.1471  1137.7
18.0000          0.4127       0.2652       0.1476  1141.5
19.0000          0.4126       0.2663       0.1463  1131.9
20.0000          0.4126       0.2668       0.1458  1128.1
21.0000          0.4126       0.2908       0.1218   941.9
22.0000          0.4127       0.2977       0.1150   889.5
23.0000          0.4126       0.2884       0.1242   961.0
24.0000          0.4126       0.2589       0.1537  1189.1
25.0000          0.4127       0.2834       0.1293  1000.4
26.0000          0.4126       0.2870       0.1257   972.1
27.0000          0.4128       0.2778       0.1350  1044.2
28.0000          0.4128       0.2738       0.1390  1075.1
29.0000          0.4126       0.2826       0.1301  1006.4
30.0000          0.4126       0.2709       0.1418  1096.7
31.0000          0.4127       0.2808       0.1319  1020.3
32.0000          0.4125       0.2681       0.1444  1116.9
33.0000          0.4127       0.3122       0.1006   778.0
34.0000          0.4127       0.2774       0.1353  1047.0
35.0000          0.4127       0.2746       0.1380  1067.7
36.0000          0.4127       0.2841       0.1286   995.1
37.0000          0.4127       0.2863       0.1264   978.0
38.0000          0.4126       0.2904       0.1223   946.1
39.0000          0.4127       0.2663       0.1463  1132.1
40.0000          0.4127       0.2781       0.1346  1041.2
41.0000          0.4127       0.2937       0.1190   920.8
42.0000          0.4128       0.2849       0.1278   989.0
43.0000          0.4127       0.2693       0.1434  1109.2
44.0000          0.4125       0.2777       0.1348  1043.2
45.0000          0.4124       0.3117       0.1007   778.9
46.0000          0.4125       0.2976       0.1150   889.3
47.0000          0.4128       0.3005       0.1123   868.8
48.0000          0.4129       0.2923       0.1206   933.3
49.0000          0.4126       0.2961       0.1166   901.7
50.0000          0.4124       0.2940       0.1183   915.6
51.0000          0.4124       0.2657       0.1467  1134.7
52.0000          0.4126       0.2778       0.1348  1042.7
53.0000          0.4128       0.2787       0.1341  1037.3
54.0000          0.4128       0.2926       0.1202   930.1
55.0000          0.4128       0.2937       0.1191   921.2
56.0000          0.4126       0.2863       0.1263   977.1
57.0000          0.4124       0.2949       0.1176   909.7
