Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.4133       0.3755       0.0378   292.4
0.6000           0.4236       0.2791       0.1446  1118.4
1.2000           0.4351       0.2410       0.1941  1501.4
1.8000           0.4359       0.2704       0.1656  1280.8
2.4000           0.4360       0.2698       0.1662  1285.9
3.0000           0.4355       0.2728       0.1626  1258.1
3.6000           0.4360       0.2804       0.1556  1203.7
4.2000           0.6927       0.4352       0.2575  1991.8
4.8000           2.1221       0.8721       1.2501  9671.1
5.4000           2.1245       0.8584       1.2661  9794.9
6.0000           2.1249       0.9428       1.1822  9145.6
6.6000           3.7059       1.2181       2.4878  19246.8
7.2000           3.4386       1.2933       2.1454  16597.3
7.8000           3.9899       1.5009       2.4890  19255.8
8.4000           4.0237       1.4612       2.5625  19824.3
9.0000         678.0724       1.3855     676.6870  5235086.0
9.6000         716.0464       1.7300     714.3164  5526200.1
10.2000        687.9093       1.7918     686.1175  5308043.5
10.8000        726.7640       2.3740     724.3900  5604133.4
11.4000        709.8548       2.0578     707.7971  5475764.4
12.0000        908.4424       2.7591     905.6834  7006681.7
