Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.3923       0.3502       0.0421   325.4
1.0000           0.3915       0.2380       0.1536  1187.9
2.0000           0.3917       0.2457       0.1460  1129.3
3.0000           0.3918       0.2639       0.1279   989.5
4.0000           0.3917       0.2661       0.1256   972.0
5.0000           0.3916       0.2525       0.1392  1076.6
6.0000           0.3918       0.2528       0.1389  1074.9
7.0000           0.3917       0.2554       0.1364  1054.9
8.0000           0.3916       0.2189       0.1727  1336.2
9.0000           0.3916       0.2309       0.1607  1242.9
10.0000          0.3916       0.2532       0.1384  1071.0
