Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.3939       0.3502       0.0437   338.2
0.6500           0.3898       0.2643       0.1255   970.5
1.3000           0.3902       0.2243       0.1660  1284.0
1.9500           0.3893       0.2521       0.1371  1061.0
2.6000           0.3903       0.2457       0.1446  1118.6
3.2500           0.3904       0.2595       0.1309  1012.7
3.9000           0.3907       0.2419       0.1488  1151.1
4.5500           0.3908       0.2449       0.1459  1128.7
5.2000           0.3896       0.2549       0.1348  1042.5
5.8500           0.3916       0.2374       0.1542  1192.6
6.5000           0.3907       0.2299       0.1608  1244.0
7.1500           0.3908       0.2509       0.1399  1082.4
7.8000           0.4117       0.2625       0.1493  1154.8
8.4500           0.4122       0.2565       0.1556  1204.0
9.1000           0.4126       0.2720       0.1407  1088.2
9.7500           0.4125       0.2665       0.1461  1130.2
10.4000          0.4126       0.2624       0.1502  1161.6
11.0500          0.4133       0.2803       0.1330  1028.8
11.7000          0.4128       0.2950       0.1178   911.7
12.3500          0.4120       0.2587       0.1534  1186.6
13.0000          0.4129       0.2756       0.1373  1062.5
