Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.4000       0.3502       0.0498   385.4
1.0000           0.4259       0.2611       0.1648  1275.2
2.0000           5.9178       0.7176       5.2002  40230.9
3.0000           5.1978       0.7243       4.4735  34608.4
4.0000           5.9209       0.9399       4.9809  38534.2
5.0000         117.0319       1.5299     115.5020  893563.7
6.0000         122.0897       1.6093     120.4804  932078.4
7.0000         386.8476       2.5908     384.2568  2972744.1
8.0000         392.9429       2.8014     390.1414  3018270.0
9.0000         528.8889       2.9444     525.9445  4068889.8
10.0000        577.4105       2.7517     574.6588  4445760.6
11.0000        637.1843       3.0578     634.1265  4905823.2
12.0000        680.4536       3.1576     677.2960  5239797.7
13.0000        702.9433       3.5107     699.4326  5411054.2
14.0000        804.3456       3.5981     800.7475  6194861.1
15.0000        942.5558       3.5879     938.9678  7264182.1
16.0000       1597.7298       3.3791    1594.3507  12334451.9
17.0000       1768.8787       3.5927    1765.2860  13656866.6
18.0000       1719.3066       3.4862    1715.8204  13274183.5
19.0000       1977.3875       3.5979    1973.7896  15269923.0
20.0000       1917.4426       3.5811    1913.8615  14806298.6
