Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.3878       0.3502       0.0376   290.8
5.0000        1207.2878       3.5986    1203.6892  9312158.5
10.0000       1307.1296       3.5779    1303.5517  10084729.7
15.0000       1411.9515       3.5946    1408.3569  10895539.3
20.0000       1868.2959       3.5022    1864.7937  14426693.2
25.0000       2608.7085       3.5988    2605.1097  20154035.4
30.0000       8280.9076       3.2268    8277.6808  64039019.6
35.0000      16432.5089       3.5308   16428.9781  127100292.2
40.0000      16047.4059       3.5747   16043.8312  124120662.0
45.0000      17861.3447       3.4103   17857.9344  138155196.1
50.0000      17713.2001       3.2858   17709.9144  137010061.2
