Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.4202       0.3755       0.0447   345.8
0.7500           0.4330       0.2824       0.1507  1165.6
1.5000           0.4326       0.2742       0.1584  1225.6
2.2500           0.4445       0.2791       0.1654  1279.6
3.0000           4.1968       0.8546       3.3422  25856.7
3.7500           4.5515       0.9216       3.6300  28082.7
4.5000           4.2222       0.8468       3.3754  26113.1
5.2500          10.7343       1.1184       9.6159  74392.2
6.0000          11.9672       1.6246      10.3426  80014.0
6.7500          11.4882       1.8731       9.6152  74386.2
7.5000          26.0880       2.0271      24.0609  186143.2
8.2500          44.1305       2.2884      41.8421  323705.3
9.0000          56.5087       2.6060      53.9026  417009.3
9.7500         256.7347       3.1084     253.6263  1962141.1
10.5000        263.9810       2.8697     261.1113  2020047.9
11.2500        407.3543       2.9027     404.4515  3128977.8
12.0000        418.0824       3.2002     414.8823  3209673.6
12.7500        443.0425       3.4859     439.5566  3400562.9
13.5000        582.3919       3.2642     579.1277  4480333.3
14.2500        610.9071       3.5944     607.3127  4698382.6
15.0000        630.8073       3.5649     627.2424  4852565.4
