Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.4190       0.3755       0.0435   336.8
0.5000           0.4149       0.2492       0.1657  1282.1
1.0000           0.4146       0.2710       0.1436  1110.9
1.5000           0.4140       0.2420       0.1720  1330.7
2.0000           0.4146       0.2809       0.1337  1034.6
2.5000           0.4157       0.2819       0.1338  1035.4
3.0000           0.4146       0.2732       0.1414  1093.6
3.5000           0.4154       0.2731       0.1422  1100.3
4.0000           0.4145       0.2992       0.1153   891.9
4.5000           0.4144       0.2898       0.1245   963.5
5.0000           0.4140       0.2657       0.1484  1147.7
5.5000           0.4141       0.2627       0.1513  1170.8
6.0000           0.4142       0.2557       0.1585  1226.3
6.5000           0.4148       0.2838       0.1310  1013.6
7.0000           0.4135       0.2460       0.1675  1295.8
7.5000           0.4145       0.2757       0.1389  1074.2
8.0000           0.4142       0.2840       0.1302  1007.5
8.5000           0.4150       0.2924       0.1227   949.1
9.0000           0.4154       0.2943       0.1211   936.9
9.5000           0.4152       0.2676       0.1476  1141.9
10.0000          0.4156       0.2747       0.1409  1090.1
