# this is for gemnet-dT! no energy drift it seems
Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.3940       0.3502       0.0438   338.9
1.0000           0.3935       0.2530       0.1405  1086.6
2.0000           0.3934       0.2721       0.1213   938.3
3.0000           0.3935       0.2772       0.1163   899.9
4.0000           0.3934       0.2891       0.1043   807.2
5.0000           0.3934       0.2775       0.1158   896.2
6.0000           0.3933       0.2793       0.1140   881.7
7.0000           0.3934       0.2801       0.1134   877.2
8.0000           0.3935       0.2807       0.1128   872.4
9.0000           0.3934       0.2885       0.1049   811.2
10.0000          0.3934       0.2751       0.1183   914.9
11.0000          0.3935       0.2759       0.1177   910.2
12.0000          0.3934       0.2868       0.1066   824.8
13.0000          0.3933       0.2777       0.1156   894.3
14.0000          0.3935       0.2815       0.1119   866.0
15.0000          0.3933       0.2607       0.1326  1025.9
16.0000          0.3934       0.2844       0.1090   843.4
17.0000          0.3932       0.2611       0.1322  1022.7
18.0000          0.3934       0.2739       0.1194   924.0
19.0000          0.3933       0.2970       0.0963   745.1
20.0000          0.3934       0.2867       0.1067   825.4
21.0000          0.3933       0.2628       0.1306  1010.3
22.0000          0.3934       0.2672       0.1262   976.1
23.0000          0.3935       0.2795       0.1140   881.9
24.0000          0.3934       0.2663       0.1271   982.9
25.0000          0.3934       0.2817       0.1118   864.5
26.0000          0.3935       0.2749       0.1186   917.5
27.0000          0.3934       0.2872       0.1062   822.0
28.0000          0.3935       0.2945       0.0990   765.7
29.0000          0.3933       0.2615       0.1318  1019.5
30.0000          0.3934       0.2686       0.1248   965.6
31.0000          0.3934       0.2787       0.1147   887.2
32.0000          0.3933       0.2501       0.1432  1108.1
33.0000          0.3933       0.2589       0.1345  1040.2
34.0000          0.3935       0.2786       0.1148   888.3
35.0000          0.3933       0.2733       0.1200   928.5
36.0000          0.3935       0.2927       0.1008   779.7
37.0000          0.3936       0.2859       0.1077   833.4
38.0000          0.3934       0.2782       0.1152   891.2
39.0000          0.3935       0.2897       0.1038   803.2
40.0000          0.3935       0.2752       0.1183   915.0
41.0000          0.3933       0.2496       0.1436  1111.0
42.0000          0.3933       0.2676       0.1257   972.4
43.0000          0.3934       0.2714       0.1220   944.0
44.0000          0.3934       0.2732       0.1202   929.9
45.0000          0.3935       0.2675       0.1260   974.9
46.0000          0.3935       0.2807       0.1128   872.5
47.0000          0.3934       0.2668       0.1266   979.4
48.0000          0.3933       0.2629       0.1304  1008.7
49.0000          0.3932       0.2557       0.1375  1063.7
50.0000          0.3935       0.2611       0.1323  1023.7
51.0000          0.3936       0.2833       0.1104   853.7
52.0000          0.3935       0.2616       0.1319  1020.4
53.0000          0.3934       0.2706       0.1228   950.1
54.0000          0.3934       0.2680       0.1254   970.0
55.0000          0.3935       0.2631       0.1304  1008.7
56.0000          0.3934       0.2611       0.1323  1023.5
57.0000          0.3934       0.2668       0.1266   979.2
58.0000          0.3934       0.2539       0.1394  1078.6
59.0000          0.3935       0.2633       0.1302  1007.4
60.0000          0.3933       0.2654       0.1279   989.6
61.0000          0.3935       0.2632       0.1302  1007.6
62.0000          0.3935       0.2883       0.1053   814.5
63.0000          0.3934       0.2748       0.1185   916.9
64.0000          0.3935       0.2855       0.1080   835.4
65.0000          0.3935       0.2778       0.1157   895.0
66.0000          0.3934       0.2684       0.1250   966.8
67.0000          0.3934       0.2738       0.1196   925.4
68.0000          0.3934       0.2707       0.1226   948.8
69.0000          0.3934       0.2781       0.1153   891.7
70.0000          0.3935       0.2720       0.1214   939.4
71.0000          0.3935       0.2796       0.1139   881.1
72.0000          0.3934       0.2511       0.1423  1100.7
73.0000          0.3934       0.2741       0.1193   923.2
74.0000          0.3934       0.2522       0.1413  1093.0
75.0000          0.3933       0.2713       0.1220   944.0
76.0000          0.3933       0.2672       0.1261   975.7
77.0000          0.3934       0.2685       0.1250   966.8
78.0000          0.3934       0.2512       0.1422  1100.5
79.0000          0.3934       0.2515       0.1419  1097.4
80.0000          0.3936       0.2976       0.0959   742.2
81.0000          0.3935       0.2929       0.1006   778.4
82.0000          0.3933       0.2616       0.1316  1018.5
83.0000          0.3934       0.2752       0.1182   914.1
84.0000          0.3933       0.2759       0.1174   908.2
85.0000          0.3934       0.2760       0.1174   908.1
86.0000          0.3935       0.2912       0.1023   791.5
87.0000          0.3933       0.2730       0.1203   931.1
88.0000          0.3934       0.2785       0.1149   889.1
89.0000          0.3934       0.2593       0.1341  1037.5
90.0000          0.3935       0.2685       0.1250   967.1
91.0000          0.3933       0.2519       0.1414  1093.9
92.0000          0.3934       0.2413       0.1520  1176.3
93.0000          0.3934       0.2579       0.1356  1048.8
94.0000          0.3934       0.2584       0.1350  1044.6
95.0000          0.3934       0.2668       0.1266   979.2
96.0000          0.3934       0.2621       0.1313  1015.6
97.0000          0.3935       0.2681       0.1254   970.3
98.0000          0.3933       0.2576       0.1358  1050.3
99.0000          0.3935       0.2681       0.1254   970.3
100.0000         0.3933       0.2662       0.1271   983.6
101.0000         0.3934       0.2628       0.1306  1010.2
102.0000         0.3934       0.2732       0.1202   929.8
103.0000         0.3935       0.2669       0.1266   979.5
104.0000         0.3934       0.2722       0.1212   937.7
105.0000         0.3935       0.2697       0.1238   957.6
106.0000         0.3935       0.2752       0.1183   915.4
107.0000         0.3934       0.2735       0.1199   927.7
108.0000         0.3934       0.2925       0.1010   781.1
109.0000         0.3935       0.2846       0.1089   842.3
110.0000         0.3934       0.2840       0.1094   846.2
111.0000         0.3936       0.2976       0.0960   742.9
112.0000         0.3934       0.2738       0.1196   925.3
113.0000         0.3934       0.2945       0.0990   765.6
114.0000         0.3935       0.2881       0.1054   815.0
115.0000         0.3932       0.2698       0.1234   954.7
116.0000         0.3933       0.2746       0.1187   918.3
117.0000         0.3935       0.2795       0.1140   881.8
118.0000         0.3934       0.2755       0.1180   912.5
119.0000         0.3934       0.2754       0.1180   912.7
120.0000         0.3933       0.2670       0.1263   977.2
121.0000         0.3934       0.2741       0.1193   922.6
122.0000         0.3935       0.2732       0.1203   930.6
123.0000         0.3935       0.2866       0.1068   826.4
124.0000         0.3935       0.2777       0.1158   895.5
125.0000         0.3934       0.2719       0.1215   939.8
126.0000         0.3934       0.2753       0.1181   913.7
127.0000         0.3934       0.2772       0.1162   898.9
128.0000         0.3933       0.2659       0.1274   985.3
129.0000         0.3934       0.2752       0.1183   915.0
130.0000         0.3936       0.2927       0.1009   780.8
131.0000         0.3934       0.2863       0.1071   828.6
132.0000         0.3934       0.2772       0.1162   899.3
133.0000         0.3934       0.2861       0.1073   830.4
134.0000         0.3935       0.2860       0.1074   831.0
135.0000         0.3935       0.2908       0.1027   794.5
136.0000         0.3934       0.2773       0.1161   898.0
137.0000         0.3934       0.2941       0.0993   768.6
138.0000         0.3934       0.2901       0.1033   798.8
139.0000         0.3934       0.2717       0.1216   941.0
140.0000         0.3933       0.2856       0.1077   832.9
141.0000         0.3932       0.2930       0.1002   774.9
142.0000         0.3933       0.2748       0.1185   916.7
143.0000         0.3933       0.2670       0.1264   977.5
144.0000         0.3934       0.2879       0.1056   816.7
145.0000         0.3935       0.3081       0.0854   660.5
146.0000         0.3935       0.2933       0.1002   775.5
147.0000         0.3934       0.2831       0.1103   853.5
148.0000         0.3933       0.2525       0.1408  1089.6
149.0000         0.3933       0.2578       0.1355  1048.6
150.0000         0.3934       0.2831       0.1103   853.0
151.0000         0.3935       0.3054       0.0881   681.2
152.0000         0.3928       0.3040       0.0888   687.4
153.0000         0.3936       0.2956       0.0980   758.3
154.0000         0.3934       0.2704       0.1230   951.5
155.0000         0.3934       0.2848       0.1085   839.6
156.0000         0.3934       0.2736       0.1198   926.8
157.0000         0.3934       0.2676       0.1257   972.7
158.0000         0.3935       0.2626       0.1309  1012.4
159.0000         0.3933       0.2773       0.1160   897.3
160.0000         0.3934       0.2797       0.1136   879.1
161.0000         0.3935       0.2985       0.0949   734.5
162.0000         0.3934       0.2773       0.1161   898.0
163.0000         0.3935       0.2698       0.1237   956.7
164.0000         0.3935       0.2726       0.1209   935.6
165.0000         0.3934       0.2673       0.1261   975.4
166.0000         0.3935       0.2767       0.1167   903.1
167.0000         0.3933       0.2558       0.1375  1063.7
168.0000         0.3935       0.2782       0.1153   891.8
169.0000         0.3935       0.2797       0.1138   880.3
170.0000         0.3934       0.2528       0.1406  1087.4
171.0000         0.3934       0.2485       0.1449  1121.3
172.0000         0.3935       0.2826       0.1108   857.5
173.0000         0.3934       0.2856       0.1079   834.4
174.0000         0.3934       0.2719       0.1215   940.0
175.0000         0.3935       0.2710       0.1225   947.4
176.0000         0.3934       0.2716       0.1218   942.3
177.0000         0.3934       0.2648       0.1286   994.6
178.0000         0.3935       0.2827       0.1108   856.9
179.0000         0.3935       0.2684       0.1251   968.1
180.0000         0.3935       0.2580       0.1354  1047.8
181.0000         0.3935       0.2749       0.1185   917.1
182.0000         0.3933       0.2661       0.1273   984.6
183.0000         0.3934       0.2767       0.1167   902.9
184.0000         0.3934       0.2685       0.1249   966.7
185.0000         0.3934       0.2643       0.1291   999.1
186.0000         0.3934       0.2674       0.1260   974.9
187.0000         0.3935       0.2863       0.1072   829.4
188.0000         0.3934       0.2658       0.1277   987.7
189.0000         0.3935       0.2693       0.1241   960.3
190.0000         0.3935       0.2785       0.1150   889.4
191.0000         0.3935       0.2648       0.1287   995.9
192.0000         0.3935       0.2631       0.1304  1008.8
193.0000         0.3934       0.2694       0.1240   959.2
194.0000         0.3934       0.2594       0.1340  1036.5
195.0000         0.3935       0.2652       0.1283   992.3
196.0000         0.3933       0.2545       0.1388  1073.6
197.0000         0.3935       0.2598       0.1337  1034.4
198.0000         0.3934       0.2675       0.1260   974.6
199.0000         0.3935       0.2782       0.1153   892.2
200.0000         0.3934       0.2655       0.1279   989.7
201.0000         0.3934       0.2716       0.1218   942.4
202.0000         0.3933       0.2528       0.1406  1087.4
203.0000         0.3934       0.2556       0.1378  1065.8
204.0000         0.3934       0.2594       0.1340  1036.8
