Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.3877       0.3502       0.0375   290.0
0.9000           0.3811       0.2624       0.1188   918.9
1.8000           0.3882       0.2632       0.1250   967.2
2.7000           0.4213       0.3192       0.1021   789.8
3.6000           2.1044       0.5841       1.5203  11761.4
4.5000           2.2974       0.6188       1.6786  12986.2
5.4000           5.0398       0.7433       4.2966  33239.7
6.3000          11.0112       1.0518       9.9594  77049.6
7.2000          22.3167       1.5503      20.7664  160656.0
8.1000         345.0630       1.4334     343.6296  2658438.4
9.0000         349.6351       1.8224     347.8127  2690800.2
9.9000         311.6626       2.0789     309.5836  2395046.7
10.8000        314.1489       2.1544     311.9945  2413697.7
11.7000        352.3672       2.3081     350.0592  2708179.6
12.6000        360.2802       2.4373     357.8429  2768397.0
13.5000        396.5076       2.5924     393.9152  3047465.4
14.4000        525.2267       2.7233     522.5034  4042267.8
15.3000        535.7217       2.9357     532.7860  4121817.9
16.2000        531.7889       2.9613     528.8276  4091194.4
17.1000        537.8154       2.7468     535.0686  4139477.2
18.0000       1443.9548       3.1673    1440.7874  11146433.1
