molecule,init_idx,gemnet_dT_traj0_energy,gemnet_dT_trajN_energy,gemnet_dT_energy_off_by_meV,gemnet_T_traj0_energy,gemnet_T_trajN_energy,gemnet_T_energy_off_by_meV
CH4OH2,491,-3184.1470310569507,-3184.1294045535765,17.626503374231106,-3184.1470310569507,-3184.119548147045,27.48290990575697
C20H24,954,-21139.49714283003,-21138.20218983675,1294.9529932811856,-21139.49714283003,-21138.854166041816,642.9767882145825
Cl8C10,1211,-110568.67097818793,-110567.82462168422,846.356503709103,-110568.67097818793,-110568.85723455527,-186.25636733486317
C6H12,1260,-6421.791059677997,-6421.377196896888,413.86278110894636,-6421.791059677997,-6421.7802604506005,10.799227396091737
F2C6H4,2014,-11727.457120211024,-11727.65337222774,-196.25201671624382,-11727.457120211024,-11727.994398658433,-537.2784474093351
NC5H5,2060,-6759.768363038055,-6760.160109823699,-391.74678564359056,-6759.768363038055,-6759.850258578862,-81.89554080672679
Br3CH,2269,-211192.8746045942,-211192.54795439154,326.6502026526723,-211192.8746045942,-211192.90066284902,-26.058254821691662
O2C9H6,2513,-13531.945919702794,-13531.082207101024,863.7126017692935,-13531.945919702794,-13532.016226305896,-70.30660310192616
C17H22,2759,-17994.959381850585,-17992.78664410136,2172.737749224325,-17994.959381850585,-17994.561507914084,397.8739365011279
N2F4C8,2886,-22155.20406908426,-22154.99741649735,206.65258690860355,-22155.20406908426,-22155.03001931515,174.0497691098426
F3C2H3,2915,-10280.37720368,-10280.420448046827,-43.24436682691157,-10280.37720368,-10280.462050733515,-84.84705351474986
F8C12,3307,-34197.626718105166,-34197.40380958735,222.90851781872334,-34197.626718105166,-34197.665476926406,-38.75882123975316
C2H2,3573,-2105.567380200731,-2105.6526186716965,-85.23847096557802,-2105.567380200731,-2105.68739697085,-120.01677011903666
OC2H6,4517,-4220.937796635194,-4220.988329847889,-50.53321269497246,-4220.937796635194,-4221.1130577306885,-175.26109549453395
S2H2,5049,-21706.69948728764,-21706.629112476083,70.37481155566638,-21706.69948728764,-21706.704420223363,-4.932935724355048
C11H12,5104,-11609.0673285582,-11608.306519768725,760.8087894750497,-11609.0673285582,-11608.864522115371,202.80644282865978
Cl6C2,5476,-77220.26092241639,-77220.0465826446,214.33977178821806,-77220.26092241639,-77220.54760637188,-286.6839554917533
C5H12,5604,-5384.270335842131,-5384.280683210957,-10.34736882593279,-5384.270335842131,-5384.331816668895,-61.48082676372724
O2C4H8,5720,-8376.635188035572,-8375.816473493642,818.7145419306034,-8376.635188035572,-8376.762021116627,-126.83308105442848
BrCH3,5961,-71133.09299233094,-71133.06544850489,27.543826057808474,-71133.09299233094,-71133.07858641275,14.405918191187084
Cl2CH2,6202,-26119.02972957803,-26119.006106424706,23.623153323569568,-26119.02972957803,-26119.053184445584,-23.454867554391967
F6N2C8,6417,-27593.491119434537,-27592.997891789026,493.22764551106957,-27593.491119434537,-27593.322568345255,168.55108928211848
C8H8,6855,-8427.770549958166,-8426.54407816325,1226.471794916506,-8427.770549958166,-8427.485418478627,285.1314795389044
C8H14,6916,-8527.672234348396,-8527.499737833761,172.49651463498594,-8527.672234348396,-8528.05352825315,-381.2939047529653
Cl6C6,7738,-81372.20816708777,-81372.05904595778,149.1211299871793,-81372.20816708777,-81372.06729114032,140.87594744341914
C4H6,9102,-4247.072829969585,-4246.935769680937,137.060288648172,-4247.072829969585,-4246.979886720691,92.94324889378913
BrC6H5,9803,-76353.62095050143,-76353.6791007704,-58.15026897471398,-76353.62095050143,-76353.66430924558,-43.358744151191786
C4H10,10328,-4314.2927826648165,-4313.993931963251,298.85070156524307,-4314.2927826648165,-4314.1219805795845,170.802085232026
FC6H5,10844,-9025.986080095898,-9025.879798636952,106.2814589458867,-9025.986080095898,-9025.979896383238,6.183712659549201
C20H16,10881,-21013.551603178606,-21012.007710493588,1543.8926850183634,-21013.551603178606,-21013.850563043772,-298.95986516567064
F3C6H3,10924,-14430.201844521327,-14430.11004212855,91.8023927770264,-14430.201844521327,-14430.118104263462,83.74025786542916
F4I2C6,12131,-33304.85667527489,-33304.8099824825,46.69279239169555,-33304.85667527489,-33304.92093732861,-64.26205371826654
F2C4H8,12282,-9718.79323022189,-9718.600396926038,192.83329585232423,-9718.79323022189,-9718.65450013679,138.73008510017826
F2C2,14094,-7508.27445161595,-7508.252522145043,21.929470906798088,-7508.27445161595,-7508.290366430989,-15.914815038740926
