molecule,init_idx,traj[0] potential energy,traj[0] kinetic energy,traj[-1] potential energy,traj[-1] kinetic energy,total energy deviation (meV)
C3H8C3H8,15991,-6487.799722313987,0.9327925183211248,-6487.5784298713525,0.7345913732589074,23.091297572560343
C3H8C4H10,17078,-7558.275714644895,1.0262567709232668,-7558.055495372017,1.1868990324733277,380.8615344287476
C4H10,19119,-4314.357000589454,0.6764882889325236,-4314.161720461058,0.7253977829864293,244.18962245035803
C4H10C4H10,42375,-8628.809880415472,1.1090928538546418,-8628.461470991324,1.7436531997144702,982.9697700075062
C6H12C4H10,13555,-10737.155728844702,1.2741569469419636,-10736.533467552443,0.6918813673424743,39.98571265923889
C3H8,14848,-3243.814634363572,0.5422428000137464,-3243.7504080907383,0.4836308508818541,5.614323702111235
C5H12C4H10,1629,-9699.413118676395,1.253733014998836,-9698.911264979746,0.8864283256415106,134.54900729095033
C4H10C6H6,31547,-10638.52510492662,1.0464513053721185,-10638.107822254782,1.7532909626594098,1124.1223291253682
C5H12C6H6,33897,-11709.040921162632,1.2021446607283917,-11708.489682618954,0.7786756670192949,127.76954996870593
C4H10C5H12,31040,-9699.235456889297,1.2537330149988357,-9698.755360869774,0.7822582682303257,8.621272754788079
C5H12C5H12,44125,-10770.004379816794,1.3869990371415284,-10769.256766565923,0.6825497597392033,43.163973467720496
C4H10ClC6H5,41899,-23146.754372219,1.0464513053721185,-23146.232704113445,0.5466381679168618,21.85496809941645
C5H10C6H6,40026,-11676.169023664152,1.065294739894874,-11675.632734353001,0.5812919373835373,52.28650863953277
C2H4C4H6,28718,-6386.957436471698,0.7972497188100374,-6386.805341936066,0.6721682451190453,27.013061941231655
C6H12C3H8,3151,-9666.664703702088,1.2021446607283917,-9666.036341054034,0.6209101240050641,47.12811133167527
C5H10C4H10,25372,-9666.369701770636,1.2021446607283914,-9665.817155869847,0.6698871099684942,20.288350029931344
C2H6SC2H6,24985,-15183.8288018381,0.8418674768714295,-15183.564847258956,0.7387193563738126,160.80645864660303
C6H12C2H6,12862,-8596.22183945439,1.0464513053721185,-8595.744410038154,0.5258604040908808,-43.16148504587369
C4H10C6H14,19172,-10769.799718587194,1.3869990371415284,-10769.121450746943,0.7246269260340483,15.895729143061033
C5H10C2H4,36589,-7491.799293722301,0.8917788570528707,-7491.441425251217,0.6148924028117558,80.9820168429517
C2H6C2H6,47178,-4346.8078810266215,0.7972497188100374,-4346.623467224536,0.6209122191857179,8.07630246092006
C2H6,48142,-2173.355117894447,0.37720752003365265,-2173.3366094776325,0.34042176129928126,-18.27734191970154
ClC6H5,27561,-18832.067254667494,0.5948392252409702,-18831.900136801924,0.4378850315615688,10.163671892120085
C5H12OH2,27776,-7466.135195587942,0.8757158723043639,-7465.797575476581,1.2572518915765394,719.1561306329723
C3H4,37167,-3176.453747203123,0.3549066085604483,-3176.430406271005,0.5969499802416064,265.3843037994573
C2H2C6H6,19960,-8429.90051634503,0.7972497188100374,-8429.540754297212,0.4714478211208476,33.96015012842102
OC2H6ClC6H5,15368,-23053.39857620335,0.8917788570528707,-23053.09511557591,0.9392947982110382,350.97656860086977
FC6H5,22467,-9026.099014082778,0.5948392252409702,-9025.88356286098,0.30801685936139644,-71.37114408188961
C2H6C6H6,46285,-8497.593452938338,0.8757158723043639,-8497.171753908397,0.47259711371931173,18.580271356176237
Cl6C6,7738,-81372.20816708777,0.5948392252409702,-81372.07911283617,0.46354281642209905,-2.242157230024411
C4H10OH2,46168,-6395.324739819186,0.8418674768714295,-6394.9446077616,0.7837059438565288,321.9705245705159
C5H12OC2H6,12181,-9606.589167991824,1.0464513053721185,-9605.993666758288,2.4078664945335095,1956.9164226977427
C6H12BrCH3,31530,-77555.85712122856,0.9805528358412394,-77555.40966803984,5.3366571610820435,4803.557513965485
C2H6OC2H6,27603,-6394.4776255186025,0.8418674768714295,-6394.158935141866,0.5563656428571054,33.188542721673485
C4NH5,15094,-5722.848494094277,0.5298961588765397,-5722.747962555761,0.45959351437923596,30.22889401873352
C2H4SC2H6,8917,-15150.216909499075,0.7666681504913424,-15149.950024880425,0.5370359626869451,37.25243084522734
C4H10NC5H5,34834,-11075.206729381176,1.0262567709232668,-11074.86557789788,0.7549457512372779,69.84046361141493
C4H6SC2H6,8424,-17257.55137090287,0.8676315033269025,-17257.204794918587,0.5986494603580351,77.59394131362518
