molecule,init_idx,traj[0] potential energy,traj[0] kinetic energy,traj[-1] potential energy,traj[-1] kinetic energy,total energy deviation (meV)
C3H8C3H8,15991,-6487.799722313987,0.9327925183211248,-6487.583373068366,0.7214801844680326,5.036911768425689
C3H8C4H10,17078,-7558.275714644895,1.0262567709232668,-7557.947996249481,0.7084864696756547,9.948094166263521
C4H10,19119,-4314.357000589454,0.6764882889325236,-4314.110383855357,0.43306022028589974,3.1886654509435397
C4H10C4H10,42375,-8628.809880415472,1.1090928538546418,-8628.444054653837,0.7534635592889984,10.196467069866655
C6H12C4H10,13555,-10737.155728844702,1.2741569469419636,-10736.615004530286,0.7453369884712322,11.904355945937972
C3H8,14848,-3243.814634363572,0.5422428000137464,-3243.6681783646836,0.39857144258924215,2.7846414641951034
C5H12C4H10,1629,-9699.413118676395,1.253733014998836,-9698.925430010957,0.7899871056957743,23.94275613561847
C4H10C6H6,31547,-10638.52510492662,1.0464513053721185,-10638.084382108811,0.6245027247758237,18.774237212694
C5H12C6H6,33897,-11709.040921162632,1.2021446607283917,-11708.509808631361,0.6567841595221204,-14.247969934968907
C4H10C5H12,31040,-9699.235456889297,1.2537330149988357,-9698.869001253202,0.8914199491678572,4.142570263973466
C5H12C5H12,44125,-10770.004379816794,1.3869990371415284,-10769.348125695802,0.7424857737517447,11.740857601374444
C4H10ClC6H5,41899,-23146.754372219,1.0464513053721185,-23146.310178193366,0.6096700587993473,7.412779059433827
C5H10C6H6,40026,-11676.169023664152,1.065294739894874,-11675.710782491033,0.5970078308713841,-10.045735904917308
C2H4C4H6,28718,-6386.957436471698,0.7972497188100374,-6386.703748359007,0.5506828471081009,7.121240989561128
C6H12C3H8,3151,-9666.664703702088,1.2021446607283917,-9666.100307631901,0.6393410142543459,1.5924237125535257
C5H10C4H10,25372,-9666.369701770636,1.2021446607283914,-9665.865622964946,0.7054532064009156,7.38735136319435
C2H6SC2H6,24985,-15183.8288018381,0.8418674768714295,-15183.407366795947,0.4244074097159497,3.9749749970910964
C6H12C2H6,12862,-8596.22183945439,1.0464513053721185,-8595.857205257094,0.67294433180801,-8.87277626863403
C4H10C6H14,19172,-10769.799718587194,1.3869990371415284,-10769.247080697822,0.8161983215306375,-18.16282623915555
C5H10C2H4,36589,-7491.799293722301,0.8917788570528707,-7491.4656589180595,0.5660198626004954,7.875809788472243
C2H6C2H6,47178,-4346.8078810266215,0.7972497188100374,-4346.6369356476225,0.6283562824819571,2.051942670930229
C2H6,48142,-2173.355117894447,0.37720752003365265,-2173.358535359066,0.3807508563175013,0.12587166515953818
ClC6H5,27561,-18832.067254667494,0.5948392252409702,-18831.862511440566,0.38909738397081456,-0.9986143429285832
C5H12OH2,27776,-7466.135195587942,0.8757158723043639,-7465.7029718780905,0.4715699736813267,28.077811228603533
C3H4,37167,-3176.453747203123,0.3549066085604483,-3176.413608964164,0.3150296118289006,0.26124222744494663
C2H2C6H6,19960,-8429.90051634503,0.7972497188100374,-8429.592851851447,0.5052305671446152,15.645341917859268
OC2H6ClC6H5,15368,-23053.39857620335,0.8917788570528707,-23053.012498875658,0.5184606824294203,12.759153070489692
FC6H5,22467,-9026.099014082778,0.5948392252409702,-9026.082040136449,0.5798281619365976,1.9628830253042295
C2H6C6H6,46285,-8497.593452938338,0.8757158723043639,-8497.239646597925,0.49735398593024854,-24.55554596113041
Cl6C6,7738,-81372.20816708777,0.5948392252409702,-81372.06527620868,0.4505204287796135,-1.4279173717239857
C4H10OH2,46168,-6395.324739819186,0.8418674768714295,-6395.252536071078,0.773638505853676,3.974777090134496
C5H12OC2H6,12181,-9606.589167991824,1.0464513053721185,-9606.094621111182,0.5568904343055744,4.986009575060901
C6H12BrCH3,31530,-77555.85712122856,0.9805528358412394,-77555.47729153957,0.6176032401265908,16.880093273199172
C2H6OC2H6,27603,-6394.4776255186025,0.8418674768714295,-6394.188284983459,0.5571101969782563,4.583255249981932
C4NH5,15094,-5722.848494094277,0.5298961588765397,-5722.757874621606,0.4414957397384684,2.219053533195514
C2H4SC2H6,8917,-15150.216909499075,0.7666681504913424,-15150.055433985708,0.6102500479745627,5.057410849302668
C4H10NC5H5,34834,-11075.206729381176,1.0262567709232668,-11074.647060789985,0.4637695831611012,-2.8185965711442496
C4H6SC2H6,8424,-17257.55137090287,0.8676315033269025,-17257.313722493647,0.6405768670503006,10.593772948868207
