molecule,init_idx,traj[0] potential energy,traj[0] kinetic energy,traj[-1] potential energy,traj[-1] kinetic energy,total energy deviation (meV)
O2C3H6OH2,45000,-9387.472402270212,0.6764882889325234,-9387.310545997196,0.9503185621481962,435.6865462326824
C5H12C5H12,19312,-10769.284443177401,1.3869990371415284,-10768.81214838806,1.1278499909493747,213.1457431485373
OCH4OH2,21979,-5232.038055734068,0.47116734930496706,-5231.880731717001,0.9906148786439344,676.7715464055004
NC4H11OH2,37826,-7901.918560699484,0.8676315033269025,-7901.853886403099,1.1156171296379862,312.6599226964567
F2C2H4OC6H6,36980,-15950.164568932718,0.8917788570528707,-15949.508889561108,0.8316869896010465,595.5875041577904
OCNH3OH2,21113,-6707.525127937876,0.47116734930496706,-6707.286861427912,1.358832767777973,1125.9319284370508
O2C3H6O2C3H6,18282,-14615.45041124021,0.9327925183211246,-14615.235766594464,1.1886970800387726,470.54920746401507
ClCH3OH2,44819,-15692.10255379758,0.3772075200336526,-15692.062279687156,0.9505435739763919,613.6101643664465
O2C2H4OH2,18514,-8318.105647690803,0.5422428000137463,-8317.765767382996,1.7615811570923718,1559.2186648855838
C4H10FC2H5,3467,-9189.901692100715,0.9327925183211246,-9189.174047970473,3.2528019793185288,3047.6535912398194
CH4OH2,4220,-3184.1312386871978,0.3772075200336526,-3184.019544169593,0.34470518270079686,79.19218027195757
OCNC3H9OH2,1793,-9918.59311977141,0.8651925363983506,-9918.14880414713,1.4138549989001783,992.9780867832991
C6H12NC2H3,7857,-10036.238839267784,0.9876738696985682,-10037.018526564518,2.737473420993949,970.1122545610873
O2C4H10O2C4H10,47712,-16819.342344226065,1.2741569469419636,-16818.568623963078,3.892984665071974,3392.5479811166433
C2H4Br2C2H4,5928,-144373.67688541504,0.6764882889325236,-144373.43680106313,1.7966931070053234,1360.289169977841
OH2O2C4H8,19380,-10457.971469281714,0.8418674768714295,-10457.869302466172,1.011218055886064,271.5173945575048
Cl3CHOH2,48678,-40707.970705539214,0.3772075200336526,-40708.02806865395,0.41858755988273594,-15.983074883069548
OH2C4NH5,38246,-7804.140810708941,0.6350307278355747,-7803.82887363749,0.7495296294160988,426.43597303206593
NC2H7NC4H11,42098,-9501.875557132844,1.0464513053721185,-9501.362394032722,2.4652983794350334,1932.0101741850358
OH2O2C2H6,49926,-8350.456200905595,0.6350307278355747,-8350.349971962969,1.123501143087349,594.6993578779523
S2C3H6OC6H6,12831,-33257.70051241566,0.9876738696985683,-33257.33951788987,0.7223517464764108,95.67240255992715
O2C4H8SC2H6,26893,-21388.26631152647,0.9805528358412394,-21387.65320453611,3.092892321574658,2725.446476095227
OCNCH5OC4H10,21329,-12059.400024191758,0.9876738696985683,-12058.641104958158,4.955657757761658,4726.903121663696
