molecule,init_idx,traj_point,potential energy,kinetic energy,energy deviation from start (meV)
OClO3C17H23,5804,100,-38732.615091734864,2.371997939689952,-7.1904052734912405
OClO3C17H23,5804,200,-38732.86804891105,2.701172873890306,69.02735273740701
OClO3C17H23,5804,300,-38733.01217882938,2.810047153168649,33.77171368026622
OClO3C17H23,5804,400,-38732.579529189235,2.397312170372756,53.68637103799712
OClO3C17H23,5804,-1,-38732.81362224209,2.6405243755316827,62.80552334044343
BrN2OC19H15,30918,100,-95034.80378451031,2.1201954848935056,-20.45793872823087
BrN2OC19H15,30918,200,-95034.90969033871,2.234831299195665,-11.727952827658372
BrN2OC19H15,30918,300,-95034.8131196852,2.161931392145266,11.942793622421233
BrN2OC19H15,30918,400,-95034.82493229899,2.1686279032239555,6.826690929284451
BrN2OC19H15,30918,-1,-95034.85101439423,2.1731420357780453,-14.741271756082641
O2C4H10,24134,100,-8409.183536168559,0.8410444501797449,34.50799459025578
O2C4H10,24134,200,-8409.05024861858,0.6690813932967534,-4.1675123145819
O2C4H10,24134,300,-8409.193058583782,0.8115761871824758,-4.4826836299602935
O2C4H10,24134,400,-8409.125580971382,0.7837601726673293,35.178914254372586
O2C4H10,24134,-1,-8409.169321710158,0.8195701379577983,27.24814076756732
O5C8NC5H13,29486,100,-25435.42330940488,0.9720066841633097,11.99095445712639
O5C8NC5H13,29486,200,-25435.645624279507,1.170792873512168,-11.53773081956122
O5C8NC5H13,29486,300,-25435.53160747377,1.0653382123937027,-2.9755862035536484
O5C8NC5H13,29486,400,-25435.532898267746,1.076840639287152,7.236046714518052
O5C8NC5H13,29486,-1,-25435.413869832242,0.9612557519357161,10.6795948684002
O2C2NSC9N3CH8,22533,100,-33479.00121126456,0.9222756316749967,12.736635927446116
O2C2NSC9N3CH8,22533,200,-33479.4061668765,1.3134633610538182,-1.0312466283934896
O2C2NSC9N3CH8,22533,300,-33479.216382382256,1.1189309337724995,-5.779179667136702
O2C2NSC9N3CH8,22533,400,-33479.12881191781,1.0593896174037714,22.249968406846676
O2C2NSC9N3CH8,22533,-1,-33479.26360242828,1.172061316753311,0.13115729687029898
ONOC16N2C2H15,1971,100,-27490.63647352152,2.5412967042895493,18.77367517225248
ONOC16N2C2H15,1971,200,-27490.55889443446,2.4412555847583346,-3.688357297522815
ONOC16N2C2H15,1971,300,-27490.672480525936,2.548818578673458,-9.71145485893321
ONOC16N2C2H15,1971,400,-27490.528589906306,2.433712466494074,19.07305259008463
ONOC16N2C2H15,1971,-1,-27491.03861653931,2.92382703484412,-0.839012063823974
OFN3OC18N3C4H17,50097,100,-38868.04917643364,1.5210802371498389,12.054801347774813
OFN3OC18N3C4H17,50097,200,-38868.185636457485,1.646195911009038,0.710451361017661
OFN3OC18N3C4H17,50097,300,-38868.1255153661,1.5906612493946761,5.296881132752063
OFN3OC18N3C4H17,50097,400,-38867.82109663111,1.2819806067618753,1.0349734915582331
OFN3OC18N3C4H17,50097,-1,-38868.28795593025,1.7652962618067147,17.491329392585797
O6C6N4C10H20,930,100,-35177.84436641364,1.5823154674804423,-23.84723427738411
O6C6N4C10H20,930,200,-35177.61028203896,1.3736118603579734,1.5335332843440241
O6C6N4C10H20,930,300,-35177.70580551498,1.4576052943574174,-9.996508737715182
O6C6N4C10H20,930,400,-35177.71842861887,1.4629335412302444,-17.291365753664856
O6C6N4C10H20,930,-1,-35177.774599354554,1.5422205467209844,5.824904050057533
OClOC7N3C10H24,6147,100,-39125.735452075816,1.6692810448728277,39.20321119239123
OClOC7N3C10H24,6147,200,-39125.72799644611,1.6327076164220011,10.085412446817266
OClOC7N3C10H24,6147,300,-39125.81883901286,1.7099065401047242,-3.558230622554781
OClOC7N3C10H24,6147,400,-39125.91987280347,1.817335769302072,2.8372079688709917
OClOC7N3C10H24,6147,-1,-39126.1262277983,2.024658100200561,3.8045440380232165
OCNC3H9,193,100,-7837.362794313068,0.5832289845756978,1.3800845410958384
OCNC3H9,193,200,-7837.414889783863,0.6388260153350287,4.881644505302374
OCNC3H9,193,300,-7837.249245773708,0.47595373834265486,7.653377667564909
OCNC3H9,193,400,-7837.363720887038,0.5819448656225582,-0.8306083816489451
OCNC3H9,193,-1,-7837.262111025156,0.4929347304739606,11.769118351593333
Cl5C6H,49489,100,-68864.00550583196,0.8371448338750362,2.984590950551258
Cl5C6H,49489,200,-68863.78345105385,0.6137772369896973,1.6717721648875639
Cl5C6H,49489,300,-68864.09184066263,0.9248459453012584,4.350871711982229
Cl5C6H,49489,400,-68863.80399946684,0.6381339588242076,5.480081023311989
Cl5C6H,49489,-1,-68863.72320794441,0.555779928757612,3.91757338937726
O3C3H6,43692,100,-9354.2311400425,0.6687734244816488,16.95816464078792
O3C3H6,43692,200,-9354.525364257208,0.9576696001858513,11.630125636917121
O3C3H6,43692,300,-9354.175894709388,0.6112940879780955,14.724161248783396
O3C3H6,43692,400,-9354.183458023257,0.6276040051024555,23.470764503405128
O3C3H6,43692,-1,-9354.50036775618,0.9326041234662102,11.561149944360416
O3C2NC3H9,22229,100,-12970.98662208166,0.988309919843537,2.6068887900723148
O3C2NC3H9,22229,200,-12970.9988033441,1.0089608200670974,11.07652657356395
O3C2NC3H9,22229,300,-12971.061411411003,1.034171699881925,-26.320660513189598
O3C2NC3H9,22229,400,-12971.386799860058,1.346366211397644,-39.51459805375323
O3C2NC3H9,22229,-1,-12971.031344456824,1.0033708288691274,-27.054577348277764
C3H8,48228,100,-3243.5816265804815,0.3633461976958645,3.1790433673174467
C3H8,48228,200,-3243.685427311823,0.46489618485934875,0.9282991891902403
C3H8,48228,300,-3243.6965949784435,0.477992881017807,2.857328726867947
C3H8,48228,400,-3243.6294830846523,0.4100709304334079,2.0472719339247325
C3H8,48228,-1,-3243.617557907832,0.39961925255499653,3.5207708757022393
F2C2H4,14423,100,-7577.817047791083,0.3382149938746235,1.1285383465751697
F2C2H4,14423,200,-7577.810697093109,0.3320025978486787,1.2668402936928946
F2C2H4,14423,300,-7577.849272250941,0.36923859829231487,-0.0723170938267681
F2C2H4,14423,400,-7577.778947902323,0.3002552221797331,1.268655411377495
F2C2H4,14423,-1,-7577.799848798082,0.3238376331096475,3.9501705827665323
OH2,32081,100,-2081.069997844558,0.1988721807659048,-0.7952318731795638
OH2,32081,200,-2081.042358809439,0.17321689717919111,1.1885196592274772
OH2,32081,300,-2081.026126720026,0.1556127094597837,-0.18357864686460723
OH2,32081,400,-2081.0732151004586,0.20134975545281247,-1.534913087051809
OH2,32081,-1,-2081.024061856139,0.1520378316562133,-1.6935925635507554
C3H4,29366,100,-3176.220459522186,0.509208092340385,-11.304175117182403
C3H4,29366,200,-3176.111942913258,0.40199005609669425,-10.005602433246331
C3H4,29366,300,-3176.104408258971,0.3959158417122322,-8.545162530261386
C3H4,29366,400,-3176.058555692602,0.34915387765772066,-9.454560216234476
C3H4,29366,-1,-3176.1172238387385,0.4076008119345747,-9.675772075532386
O2C4H10,24134,100,-8409.183535956563,0.8410444501797449,34.5088313272004
O2C4H10,24134,200,-8409.050248684827,0.6690813932967534,-4.166953821170383
O2C4H10,24134,300,-8409.193058280112,0.8115761871824758,-4.481755219587713
O2C4H10,24134,400,-8409.125581521446,0.7837601726673293,35.17898893116356
O2C4H10,24134,-1,-8409.169321396428,0.8195701379577983,27.249079238770292
OC3H8,15700,100,-5291.111775302771,0.5095276689813729,-3.615528451258676
OC3H8,15700,200,-5291.327237607093,0.7249628856344639,-3.6426161202269824
OC3H8,15700,300,-5291.0642639051875,0.4614332189746203,-4.198580874539282
OC3H8,15700,400,-5291.252239598097,0.6502613571141802,-3.3461356449278057
OC3H8,15700,-1,-5291.138606674254,0.5374491547773148,-2.5254141389394746
