molecule,init_idx,gemnet_traj0_energy,gemnet_trajN_energy,gemnet_energy_off_by_meV,maceoff_traj0_energy,maceoff_trajN_energy,maceoff_energy_off_by_meV
SH2SH2,200,-21739.306799769012,-21739.22683896549,79.96080352313584,-21739.306799769012,-21739.203940181127,102.85958788517746
CH4OH2,491,-3184.1470310569507,-3184.001389683816,145.64137313482206,-3184.1470310569507,-3184.0966029652986,50.42809165206563
ClC4H9,520,-16822.122068850487,-16822.149634375714,-27.565525226236787,-16822.122068850487,-16821.97537489133,146.6939591555274
O3H6,575,-6243.2342807415935,-6242.975544837813,258.7359037806891,-6243.2342807415935,-6243.1826982983275,51.58244326594286
NC3H9,637,-4749.515362472309,-4749.673794552454,-158.43208014484844,-4749.515362472309,-4749.767565283291,-252.20281098245323
C16H24,910,-16994.965691294303,-16994.543193961883,422.49733241987997,-16994.965691294303,-16994.186320240715,779.3710535879654
C20H24,954,-21139.49714283003,-21138.72206375413,775.0790759018855,-21139.49714283003,-21138.494611321847,1002.5315081838926
Cl8C10,1211,-110568.67097818793,-110568.25876305629,412.2151316405507,-110568.67097818793,-110568.41804018035,252.93800758663565
C6H12,1260,-6421.791059677997,-6421.734754327542,56.305350454749714,-6421.791059677997,-6421.913494493536,-122.4348155392363
C6H10,1320,-6387.953205026664,-6387.569407687803,383.79733886176837,-6387.953205026664,-6387.819353172788,133.8518538759672
NCHOH2,1695,-4625.142324179681,-4625.131361859567,10.962320114231261,-4625.142324179681,-4625.072080242342,70.2439373390007
F2C6H4,2014,-11727.457120211024,-11727.68651235481,-229.39214378675388,-11727.457120211024,-11727.843195657502,-386.0754464785714
O2C9H6,2513,-13531.945919702794,-13531.755469986127,190.44971666698984,-13531.945919702794,-13531.74359401374,202.32568905339576
C8NH7,2582,-9905.745405082678,-9905.946281513301,-200.87643062288407,-9905.745405082678,-9905.98783770533,-242.43262265190424
N2F4C8,2886,-22155.20406908426,-22155.116097355716,87.97172854247037,-22155.20406908426,-22155.023257958,180.81112625804963
F3C2H3,2915,-10280.37720368,-10280.473391692116,-96.1880121158174,-10280.37720368,-10280.374038599874,3.165080126564135
