dataset,init_idx,molecule,from_train_or_test
Dipeptides,14539,O3NC6N4C6H19,test
Dipeptides,12178,O3SC11N4C6H22,test
Dipeptides,35079,O3SC3N4C9H24,test
Dipeptides,41291,O6C4N3C6H17,test
Dipeptides,14593,O3C9N3C8H25,test
Dipeptides,37154,O3C3N4C12H30,test
Dipeptides,33912,O5C5N6C9H26,test
Dipeptides,19372,O4C9N3C7H23,test
Dipeptides,36485,O3C9N3C8H23,test
Dipeptides,8915,O3C11N4C9H28,test
Dipeptides,14150,O4C9N3C5H19,test
Dipeptides,44539,O6C5N4C6H18,test
Dipeptides,16383,O3SC11N4C8H26,test
Dipeptides,13893,O5C4N3C7H19,test
Dipeptides,7884,O5C4N4C6H18,test
Dipeptides,5062,O3SC3N4C11H28,test
Dipeptides,45458,O5C5N6C8H24,test
Dipeptides,47133,O5C4N4C7H20,test
Dipeptides,5206,O3NC6N4C5H17,test
Dipeptides,27245,O5SC4N3C7H19,test
Dipeptides,4781,O5C9N3C6H21,test
Dipeptides,36106,O3C3N3C8H21,test
QMugs,4684,COC8NC3FC4FCONC3NCOCFH22,test
QMugs,16318,C3NCOCNC9FC2NC5NC3OH29,test
QMugs,42763,C7OCOC3NC9ONC2NC5NSNC4H39,test
QMugs,48731,OCNC9N2C6ClC6FC2FC3NH17,test
QMugs,16684,C3NCSC2ONC6N2C3NCOC4SH27,test
QMugs,36736,C7NCNC2NC8NC3ONC2ONC2H28,test
QMugs,7715,COCOC22NCH29,test
QMugs,11840,C2NC4NC3NCNC3NCOC6F3C5NC6NCNH33,test
QMugs,7075,C5NCOCSCN2C3NCO2C4OC3H26,test
QMugs,32172,OCNC4OC5F3C4NC9ONC3NC2OC2H33,test
QMugs,16016,C2OC6NCOC2OCOCNCNCNC6OC4H26,test
QMugs,6856,FCF2C6NC8NC2NC10H36,test
QMugs,27219,C3NC2NC6FC2NC2NC6OC4ClC2H36,test
QMugs,15348,C2OC3ClC3OC3NC5ClC5OH25,test
QMugs,7055,C3OC3NC2OC3NCOCOC2ONC5FC2NCH25,test
QMugs,32565,C6NC3NOC8NCOC5H23,test
QMugs,46013,C2NC6NC6ONC6ONOCNH23,test
QMugs,40554,C6NCNC8NC12H45,test
QMugs,24268,C2NC4NCOC5OC7OC2NC2OH27,test
QMugs,36649,C5NCOC3OC8NC2OC4ONC6NH48,test
QMugs,44628,C4N2COC8NCONC2OC2H30,test
QMugs,14774,C9OC8NC2OC3H29,test
QMugs,44984,C8ONC2OCNCONC4N2C3SH23,test
QMugs,35622,C3NCOCNC6ClC2NC2OC5NC6OH33,test
QMugs,42980,CONCOC4OC7OCNC9H24,test
QMugs,29358,C4OC4SO2NC4NC2NC6NC2OC3ONOC2H33,test
QMugs,34790,COC6NC2NC2ONC5OC2H27,test
QMugs,14828,COC5NC3NCO2C11H30,test
QMugs,50040,C9NC14O2C2NCH24,test
QMugs,43430,C6NCN2COC9SCN2H31,test
QMugs,45375,COC6NCNC2ClCNC4NC2OC4NC2NC2ONC4H36,test
QMugs,21676,C4OCONC2OCONC5SC6H30,test
QMugs,18882,C5OC5NCOC2NC5NC3H31,test
QMugs,30641,FCF2OC4NC3NC6NCNC5NC2H22,test
QMugs,21216,COC4SO2NC4ONOC5NC2OC4H25,test
QMugs,10306,CSO2NC9N2C13SNO2C2H24,test
QMugs,43359,C4OC6NC5FC3ONOC4FH28,test
QMugs,24988,C6NO2C2NC2ONC2NC8H24,test
QMugs,16418,C6N2C4SC2ONC9N2C2H21,test
QMugs,48586,C2NC4ClC9NC2NCO2C4H26,test
QMugs,27272,C2OC4SC6NC3NC2NC2OC4H29,test
QMugs,20222,NCOCOC9OCNC2OC4OC3NCOCNC2OC2H30,test
QMugs,3281,C2NC3OC2OCNC2NC2ONC14SH32,test
QMugs,29758,C7NC5ClC11SH30,test
QMugs,25109,C12N4C2NCOC7F3C6H36,test
QMugs,49862,COC4ClCNCNCNC3OC3NC2NC5OC4NH33,test
QMugs,144,COC3NCOC2NC9N3CNC2OC3NH25,test
QMugs,45968,CNC4NC2NC3NCOC9NCOC2H35,test
QMugs,17578,OC9NCSNC4SO2NC2OC4H23,test
QMugs,17744,COC6NC6OC2OC5NCOC6F3C3H33,test
water,35336,O4H8,test
water,29183,O11H22,test
water,31013,O8H16,test
water,19481,O10H20,test
water,17718,O3H6,test
water,27636,O25H50,test
water,14140,O2H4,test
water,37909,O6H12,test
water,1168,O12H24,test
water,11282,O9H18,test
water,18507,O50H100,test
water,9538,O7H14,test
water,43606,O5H10,test
Solvated Amino Acids,23848,O2NC5N3C4H14OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,36914,O3C2N2C4H12OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,43455,O2C2N2C6H16OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
