init_idx	Total Energy Off By GEMNET-DT (meV)	Total Energy Off By GEMNET-T (meV)
491	207.103037 meV	5.284415 meV
954	2203.647719 meV	-3.048291 meV
1211	2525.639275 meV	-59.320185 meV
1260	1170.842058 meV	-4.509209 meV
2014	19.881148 meV	1.612779 meV
2060	-47.153410 meV	-2.200284 meV
2269	733.016963 meV	1.067006 meV
2513	3595.548715 meV	0.258265 meV
2759	5950.970449 meV	15.560663 meV
2886	52.083303 meV	-0.933229 meV
2915	464.696160 meV	-0.032595 meV
3307	792.344934 meV	-5.296503 meV
3573	1.131073 meV	-0.515756 meV
4517	764.482811 meV	-2.302065 meV
5049	122.771357 meV	2.931827 meV
5104	4102.049483 meV	18.041981 meV
5476	599.387269 meV	2.646248 meV
5604	105.347813 meV	-0.331886 meV
5720	2387.705923 meV	-0.634003 meV
5961	535.032701 meV	0.204077 meV
6202	419.630152 meV	0.245703 meV
6417	477.224112 meV	-2.462006 meV
6855	2815.209304 meV	9.056111 meV
6916	2528.625841 meV	0.189841 meV
7738	14.375792 meV	0.250130 meV
9102	43.912845 meV	0.375158 meV
9803	74.473555 meV	1.007512 meV
10328	240.431061 meV	1.488987 meV
10844	395.442735 meV	-2.234044 meV
10881	7842.933715 meV	-3.914744 meV
10924	16.770881 meV	1.451609 meV
12131	207.890536 meV	12.868249 meV
12282	167.424617 meV	0.770572 meV
14094	196.038175 meV	75.509798 meV
14747	156.018731 meV	1.016111 meV
15094	180.378246 meV	0.273223 meV
15190	2513.445312 meV	0.396321 meV
15819	5067.159326 meV	-6.475153 meV
15849	2621.518255 meV	0.543893 meV
15883	35.387208 meV	-1.433967 meV
17262	1011.685674 meV	-4.033427 meV
17835	157.195192 meV	-3.383104 meV
19508	90.815457 meV	-1.502925 meV
23446	243.668435 meV	3.998042 meV
23643	-37.895544 meV	2.076583 meV
24024	756.493884 meV	1.120029 meV
27561	75.792217 meV	-0.394809 meV
29626	2615.425285 meV	-6.170570 meV
32406	643.512497 meV	2.742593 meV
34447	1342.164608 meV	3.836101 meV
36240	955.268298 meV	0.512490 meV
37758	334.053835 meV	0.893100 meV
39503	3128.875034 meV	-2.706340 meV
39719	41.609141 meV	-3.006134 meV
43011	781.749271 meV	1.445599 meV
44599	4551.658921 meV	-24.461607 meV
44700	3046.898527 meV	-14.423723 meV
49489	51.011515 meV	-0.263347 meV

Average Energy Off By Values:
GEMNET-DT: 1245.877575 meV
GEMNET-T: 5.614912 meV
Total count: 58
