init_idx	Total Energy Off By GEMNET-DT (meV)	Total Energy Off By GEMNET-T CHECKPOINT (meV)
200	-5.356447 meV	94.627152 meV
491	224.242261 meV	24.314613 meV
520	140.484227 meV	1.121474 meV
637	446.737473 meV	-5.783981 meV
910	65.275537 meV	-4.473534 meV
954	144.504761 meV	198.243030 meV
1211	995.273262 meV	10.848933 meV
1260	25.757174 meV	-12.517058 meV
1320	141.019969 meV	19.499470 meV
1695	168.340738 meV	11.662895 meV
2014	7.839361 meV	1.241131 meV
2513	1166.667682 meV	0.499298 meV
2582	308.184267 meV	-3.968207 meV
2886	11.133093 meV	-1.504577 meV
2915	170.729741 meV	6.612757 meV
3157	450.993572 meV	-5.420435 meV
3233	319.816641 meV	-4.755800 meV
3573	1.754777 meV	-1.311267 meV
4070	306.594299 meV	-4.270195 meV
4080	400.975777 meV	-2.075888 meV
5049	38.832532 meV	2.303933 meV
5104	1063.885847 meV	15.170897 meV
5351	13.370692 meV	0.365535 meV
5604	-3.400868 meV	-2.183463 meV
5720	-69.375713 meV	-0.888193 meV
5875	405.701786 meV	7.372899 meV
5961	33.759319 meV	0.830902 meV
6040	411.829861 meV	1.221764 meV
6202	52.006115 meV	-1.132399 meV
6373	67.755178 meV	-3.950640 meV
6417	21.007063 meV	6.837032 meV
6654	108.482474 meV	-0.983336 meV
6855	610.425823 meV	18.003363 meV
6916	331.574585 meV	-7.010681 meV
7016	486.175852 meV	-0.728739 meV
7421	591.187830 meV	7.538305 meV
7738	-2.242157 meV	-1.427917 meV
8411	592.544312 meV	-1.695011 meV
8845	211.621890 meV	-1.465595 meV
9102	384.248320 meV	-1.004062 meV
9630	189.250062 meV	2.136485 meV
9803	318.863344 meV	-1.869608 meV
10328	411.519894 meV	0.705243 meV
10844	-25.179145 meV	3.383969 meV
10924	8.795872 meV	6.685009 meV
11092	1035.367265 meV	28.452871 meV
11289	378.062816 meV	-14.088986 meV
12131	291.030658 meV	-7.155435 meV
12282	444.696906 meV	0.591436 meV
12697	-58.710836 meV	-0.052920 meV
13123	421.702048 meV	-0.868382 meV
13273	589.303058 meV	-19.237382 meV
13748	-32.997559 meV	-3.406234 meV
14201	942.276092 meV	17.056188 meV
14747	21.251839 meV	-0.080880 meV
15094	30.228894 meV	2.219054 meV
15670	71.575302 meV	-2.692519 meV
15899	524.194497 meV	-12.851174 meV
16542	8.394151 meV	92.006902 meV
17181	164.762501 meV	-4.027212 meV
17262	10.996797 meV	-1.236976 meV
17998	200.845328 meV	-3.323474 meV
19073	36.996826 meV	0.990526 meV
19090	-17.048560 meV	-1.950686 meV
19508	286.121274 meV	6.767888 meV
20040	725.532741 meV	-4.115566 meV
22184	25.723648 meV	-7.184123 meV
22366	69.231827 meV	-4.629485 meV
24309	24.160181 meV	2.118403 meV
24421	960.995277 meV	-22.067954 meV
24447	-26.453151 meV	-0.186156 meV
24931	1788.746243 meV	0.906664 meV
27561	10.163672 meV	-0.998614 meV
29626	434.516108 meV	16.989026 meV
31766	2236.308257 meV	-7.507187 meV
32406	94.291251 meV	-0.055641 meV
37758	0.634828 meV	-1.053210 meV
38221	212.201010 meV	1.872530 meV
39503	1159.249783 meV	16.747153 meV
39719	-7.406757 meV	-2.970632 meV
43558	160.922634 meV	-2.538674 meV
44700	1871.677704 meV	-34.851658 meV
49489	-24.723227 meV	3.916127 meV
49660	2852.847504 meV	4.203228 meV

Average Energy Off By Values:
GEMNET-DT: 359.607936 meV
GEMNET-T CHECKPOINT: 10.304950 meV
Total count: 84
