init_idx	Total Energy Off By GEMNET-DT (meV)	Total Energy Off By MACEOFF CALCULATOR (meV)
200	-5.356447 meV	3.748041 meV
491	224.242261 meV	-1.341120 meV
520	140.484227 meV	-0.531846 meV
575	202.403617 meV	7.707192 meV
637	446.737473 meV	5.849250 meV
910	65.275537 meV	-0.181000 meV
954	144.504761 meV	-1.607640 meV
1211	995.273262 meV	-6.158000 meV
1260	25.757174 meV	-3.526085 meV
1320	141.019969 meV	0.222489 meV
1695	168.340738 meV	13.972077 meV
2014	7.839361 meV	2.622435 meV
2513	1166.667682 meV	-7.821940 meV
2582	308.184267 meV	4.987278 meV
2886	11.133093 meV	3.779218 meV
2915	170.729741 meV	1.010253 meV
3157	450.993572 meV	7.317191 meV
3233	319.816641 meV	-6.979456 meV
3573	1.754777 meV	-0.083762 meV
4070	306.594299 meV	1.016585 meV
4080	400.975777 meV	-12.107547 meV
5049	38.832532 meV	-0.214336 meV
5104	1063.885847 meV	-2.410382 meV
5351	13.370692 meV	-0.247057 meV
5604	-3.400868 meV	1.170801 meV
5720	-69.375713 meV	-6.608633 meV
5875	405.701786 meV	-12.822132 meV
5961	33.759319 meV	2.011988 meV
6040	411.829861 meV	-14.033775 meV
6202	52.006115 meV	-0.068433 meV
6373	67.755178 meV	3.171067 meV
6417	21.007063 meV	-7.663859 meV
6654	108.482474 meV	1.525656 meV
6855	610.425823 meV	-0.978620 meV
6916	331.574585 meV	-2.923661 meV
7016	486.175852 meV	-5.255981 meV
7421	591.187830 meV	34.559726 meV
7738	-2.242157 meV	0.583038 meV
8411	592.544312 meV	-12.487726 meV
8845	211.621890 meV	3.652724 meV
9102	384.248320 meV	0.366701 meV
9630	189.250062 meV	1.562516 meV
9803	318.863344 meV	1.231287 meV
10328	411.519894 meV	-0.453935 meV
10844	-25.179145 meV	1.650207 meV
10924	8.795872 meV	-1.337285 meV
11092	1035.367265 meV	7.129289 meV
11289	378.062816 meV	0.425610 meV
12088	76.512184 meV	-3.821347 meV
12131	291.030658 meV	32.134976 meV
12282	444.696906 meV	-0.770112 meV
12697	-58.710836 meV	4.084915 meV
13123	421.702048 meV	6.242241 meV
13273	589.303058 meV	-9.004500 meV
13748	-32.997559 meV	-1.643159 meV
14201	942.276092 meV	23.672972 meV
14747	21.251839 meV	2.777356 meV
15094	30.228894 meV	3.269403 meV
15670	71.575302 meV	-7.567596 meV
15899	524.194497 meV	-1.752363 meV
16542	8.394151 meV	1.008421 meV
17181	164.762501 meV	8.568807 meV
17262	10.996797 meV	-1.693528 meV
17998	200.845328 meV	-0.676383 meV
19073	36.996826 meV	-11.292154 meV
19090	-17.048560 meV	17.726656 meV
19508	286.121274 meV	0.333861 meV
20040	725.532741 meV	-8.681316 meV
22184	25.723648 meV	6.207355 meV
22366	69.231827 meV	-4.842681 meV
24309	24.160181 meV	-2.230161 meV
24421	960.995277 meV	0.086217 meV
24447	-26.453151 meV	3.820959 meV
24931	1788.746243 meV	-19.148578 meV
27561	10.163672 meV	0.306773 meV
29626	434.516108 meV	-4.651097 meV
31766	2236.308257 meV	0.838228 meV
32406	94.291251 meV	2.236459 meV
37758	0.634828 meV	-2.371878 meV
38221	212.201010 meV	11.185362 meV
39503	1159.249783 meV	12.055336 meV
39719	-7.406757 meV	-2.518065 meV
43558	160.922634 meV	-3.818695 meV
44700	1871.677704 meV	-21.953819 meV
49489	-24.723227 meV	0.936009 meV
49660	2852.847504 meV	10.408207 meV

Average Energy Off By Values:
GEMNET-DT: 354.488168 meV
MACEOFF CALCULATOR: 5.528544 meV
Total count: 86
